#{"t_start": 1766953364.2257566, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.051862
7.662429,11,0.064875
22.287682,34,0.098166
25.121899,25,0.117845
4.921485,9,0.124876
10.271563,13,0.129062
6.556565,16,0.158723
66.024221,54,0.204708
2.466249,13,0.222726
16.619939,22,0.242727
4.457297,16,0.245787
6.715124,13,0.276852
12.503936,26,0.299431
7.184478,12,0.312303
8.614413,17,0.328426
15.917773,17,0.343484
18.387399,19,0.358477
4.285538,25,0.38751
3.783874,9,0.397053
14.972254,17,0.412054
48.366849,47,0.449187
9.835925,12,0.459187
5.829714,12,0.470502
7.999923,12,0.479085
9.047734,13,0.479085
153.631347,89,0.571679
15.636945,17,0.587765
11.770485,18,0.605189
15.050233,15,0.629429
10.546067,14,0.63043
2.917897,11,0.652191
0.751416,10,0.660192
5.860046,14,0.662204
21.965336,38,0.703207
8.55035,12,0.713714
19.901821,26,0.745938
4.290396,13,0.758097
2.769377,22,0.774591
8.540224,17,0.790196
19.506904,21,0.807209
23.165097,23,0.812009
12.835927,23,0.853906
3.580798,8,0.859827
34.010558,35,0.885631
3.570263,13,0.936995
7.555982,18,1.016086
29.365916,28,1.048139
7.000498,20,1.062166
7.44122,11,1.077247
5.70621,16,1.097401
25.51595,22,1.13116
6.15948,11,1.146597
7.755022,22,1.169411
87.220438,57,1.252738
20.383835,19,1.273278
16.45679,20,1.293135
90.273191,64,1.360532
4.592053,13,1.362108
10.148467,22,1.388478
4.535065,8,1.396762
18.027996,19,1.412641
27.103966,32,1.429191
13.903429,24,1.472568
8.812967,14,1.484448
11.361199,16,1.495399
9.090427,30,1.523432
8.990264,16,1.536423
13.782497,15,1.551286
7.952443,13,1.56831
5.620902,11,1.582156
6.998999,13,1.590156
9.048349,13,1.595089
11.206567,19,1.618117
13.422845,18,1.633758
11.727407,13,1.645669
7.023481,10,1.64952
9.160439,12,1.672254
5.144736,9,1.682628
13.003913,15,1.698017
8.394247,20,1.711813
7.834122,20,1.732742
20.098531,23,1.75283
9.217888,16,1.766097
25.97181,23,1.795775
15.631346,29,1.811785
1.560211,11,1.830878
10.652371,18,1.845793
5.711612,10,1.85379
12.551176,19,1.866777
6.581463,10,1.878435
113.135947,77,1.947186
33.206882,29,1.974927
8.770149,30,2.00054
88.731987,76,2.16893
0.983221,23,2.186319
10.039516,19,2.206713
5.256911,9,2.216202
10.731108,12,2.226119
18.132857,21,2.228118
10.093216,11,2.257873
9.95063,12,2.269937
9.008999,18,2.284939
2.491039,9,2.291956
16.916768,25,2.313398
3.071114,18,2.33039
19.203824,38,2.361417
7.2183,15,2.384529
10.529799,14,2.394545
15.355458,20,2.411408
29.837231,32,2.440451
7.683469,12,2.451458
10.774399,17,2.461422
43.321382,26,2.497256
7.378757,17,2.510161
11.236152,21,2.527955
6.211752,14,2.527955
8.06519,11,2.550272
7.969432,11,2.559263
53.843088,40,2.577817
8.563986,16,2.61142
5.248335,10,2.61142
9.089035,17,2.636653
13.827493,27,2.660757
20.142267,24,2.68177
11.156186,13,2.691797
4.748772,19,2.707305
5.211792,10,2.724201
7.031574,20,2.741572
5.284949,9,2.744495
8.382847,11,2.744495
5.101501,9,2.761162
6.838257,11,2.761162
3.728011,13,2.780429
5.657526,26,2.806519
7.563526,15,2.83223
23.439241,24,2.856179
6.732502,12,2.866179
5.014178,10,2.874198
9.321676,18,2.877925
7.472679,14,2.905003
8.684303,13,2.918005
7.35951,18,2.934264
7.908853,14,2.950084
8.266506,14,2.964975
9.558094,12,2.974982
13.119721,16,2.977811
25.701051,27,3.011906
15.108551,18,3.026901
5.225768,8,3.032703
22.814791,27,3.063668
4.809927,8,3.06867
18.242715,22,3.077684
9.897994,14,3.09382
5.261403,11,3.101909
9.078084,11,3.108909
7.482308,17,3.12392
8.381051,16,3.136855
8.617539,29,3.167161
6.957898,10,3.175164
13.847489,20,3.190356
7.4851,30,3.211508
12.09094,17,3.225503
12.02078,14,3.238503
11.7494,13,3.244241
10.588332,29,3.279183
9.307317,18,3.293204
9.069751,13,3.303492
28.876057,42,3.335183
38.304616,53,3.360874
10.853191,17,3.397755
15.352676,20,3.410758
5.708239,11,3.419758
7.433844,16,3.427695
9.848111,17,3.446872
30.46641,44,3.477699
4.714563,10,3.477699
16.37694,27,3.519916
4.309115,10,3.528164
5.846024,11,3.538586
7.922372,16,3.549868
4.718425,14,3.566527
11.672354,16,3.5795
59.66334,47,3.618643
9.569057,14,3.632184
5.673818,10,3.6411
5.701155,9,3.647867
7.176589,18,3.660799
10.524451,27,3.685967
6.509763,10,3.692968
13.269319,19,3.709243
9.552379,12,3.710749
5.341659,9,3.727435
11.834643,21,3.753725
6.248918,11,3.761632
6.90704,25,3.777402
4.889146,8,3.777402
2.378643,10,3.796761
13.375718,25,3.816757
5.68089,10,3.82575
31.445127,28,3.856838
12.724147,22,3.87671
16.51125,21,3.893676
10.828651,15,3.903233
10.743881,14,3.914466
7.079338,16,3.925465
15.215479,22,3.942466
11.334891,16,3.954317
16.335345,20,3.9808
2.885974,10,3.9888
8.054889,12,3.998806
5.594871,9,4.005805
60.050938,46,5.751323
17.632781,19,5.759951
19.164212,20,5.784999
8.370032,12,5.795874
9.119891,15,5.808861
19.032739,28,5.83945
30.255589,26,5.862649
4.083579,12,5.873818
14.206428,23,5.898696
10.662293,27,5.924694
36.390309,40,5.978108
20.916243,22,5.997381
9.152746,13,6.007377
6.307331,12,6.017325
23.921926,30,6.043277
4.555499,9,6.043277
6.451928,11,6.070527
3.637612,8,6.080881
53.011024,52,6.10974
15.220741,15,6.13402
5.659924,10,6.141004
11.342711,16,6.154016
15.436535,19,6.168573
11.561277,22,6.199573
31.386232,38,6.226278
7.815455,15,6.226278
3.423583,16,6.250667
5.490963,9,6.258577
14.451912,17,6.272669
28.003263,24,6.299835
8.293778,13,6.312198
32.173056,31,6.336281
10.623325,20,6.343076
3.227976,18,6.364176
39.161245,35,6.390177
6.823221,10,6.392999
52.506658,49,6.445765
3.861812,10,6.453765
6.883938,11,6.459757
7.033967,12,6.459757
18.357053,20,6.4871
76.190044,43,6.509633
14.984087,16,6.542366
9.74982,22,6.557369
8.724343,13,6.568469
36.138877,44,6.601519
42.750813,47,6.636542
13.078475,19,6.662016
11.594229,20,6.679014
6.507229,12,6.689013
25.062311,23,6.815986
13.6855,14,6.837656
20.906903,22,6.842786
78.805339,68,6.930547
12.984796,17,6.945333
4.72403,9,6.951343
29.01726,29,6.974833
40.032929,32,6.992877
19.648778,22,7.025474
21.446975,19,7.042481
19.81616,20,7.056479
15.955213,16,7.059351
19.765409,27,7.087517
28.270859,38,7.115614
14.270597,16,7.137458
159.359071,89,7.206105
8.932303,22,7.221103
22.606124,20,7.232751
19.881861,20,7.263706
10.981497,15,7.276708
83.947011,48,7.314069
18.26518,23,7.333364
8.876783,15,7.344267
23.618497,25,7.364592
7.186697,12,7.384625
16.492737,17,7.392637
10.227412,25,7.41968
26.257593,23,7.438681
188.112466,118,7.542966
72.73718,61,7.592483
60.356181,59,7.645491
12.769243,17,7.661644
9.8492,26,7.681652
6.369316,11,7.688652
23.537959,20,7.692393
21.668639,35,7.740169
66.72372,47,7.780218
77.686297,46,7.809139
17.460328,17,7.836631
26.824553,26,7.85784
10.056969,16,7.869926
14.937001,19,7.875686
59.587128,44,7.918904
11.700841,28,7.942248
4.266212,10,7.959413
16.159045,22,7.978404
8.264043,14,7.989404
174.633896,106,8.082243
93.498027,54,8.108788
29.323045,25,8.141055
10.916091,14,8.152167
75.496113,69,8.211716
14.266882,20,8.225541
32.583978,26,8.248627
13.995929,19,8.263718
10.246468,14,8.275052
12.841557,13,8.27545
49.576114,49,8.333301
26.931923,26,8.353732
14.401871,16,8.366638
13.167088,18,8.382862
93.574435,53,8.433003
28.290568,31,8.442056
8.645217,18,8.470169
12.380321,21,8.489194
7.481391,29,8.519287
9.659048,14,8.533827
8.522727,18,8.54883
112.672382,77,8.609069
4.462507,20,8.635614
3.686182,11,8.645506
12.286486,17,8.658313
6.846045,11,8.658651
43.641296,38,8.697468
35.296798,49,8.724896
33.345659,29,8.769182
18.078833,20,8.784262
34.075213,37,8.817055
27.991328,25,8.838136
39.369593,35,8.870878
13.397349,15,8.884249
41.209244,30,8.905537
8.738583,20,8.912775
10.702323,13,8.934388
19.319607,23,8.95339
182.667913,98,9.136977
125.72722,65,9.222694
15.430232,17,9.242861
73.262367,41,9.284431
9.868487,15,9.291857
13.942449,18,9.324483
3.947344,11,9.334488
66.407565,70,9.395822
40.517532,31,9.423485
13.790339,31,9.459093
76.456785,43,9.49506
14.312617,31,9.519466
25.185855,20,9.524943
31.657687,39,9.572759
12.619731,34,11.000802
132.866852,70,11.057249
14.394872,18,11.074127
4.08116,9,11.090374
18.075386,16,11.103419
68.834737,41,11.145998
91.242277,49,11.190544
58.510997,53,11.236994
7.677511,19,11.278696
23.4689,23,11.298981
43.802793,26,11.32031
7.912825,11,11.330307
5.714551,28,11.353826
31.881647,27,11.388123
96.822454,52,11.430574
82.698424,48,11.557482
95.145781,55,11.622707
10.557081,16,11.628597
27.187387,25,11.657366
13.46144,16,11.677499
39.049407,34,11.712702
6.51598,9,11.718731
13.851138,22,11.751132
12.91504,17,11.76622
90.864982,50,11.810103
72.129076,41,11.857945
210.846966,143,11.985408
7.246942,12,11.995399
77.977795,45,12.029691
122.813183,77,12.096281
124.119487,90,12.166071
12.446111,16,12.189873
147.639193,71,12.246728
128.792755,66,12.306571
15.641708,40,12.323679
63.83629,37,12.367837
65.224549,38,12.390524
89.727502,49,12.444887
65.047896,49,12.485283
13.14003,26,12.507037
53.632915,43,12.561827
130.496908,81,12.623574
14.968858,36,12.678359
22.16253,27,12.695073
29.079314,36,12.727829
10.984839,29,12.740239
23.213603,25,12.779074
10.719395,18,12.793059
188.112925,105,12.867965
16.289705,18,12.891638
88.517748,58,12.923436
121.933152,84,13.000256
9.296993,19,13.016243
