#{"t_start": 1766951920.8846247, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.052731
5.648457,9,0.064919
10.968701,24,0.088612
20.740834,21,0.103333
5.500698,10,0.119021
15.137462,21,0.152174
4.141844,7,0.158309
5.895497,13,0.176448
6.871935,11,0.181091
7.687083,11,0.196059
3.875698,25,0.222417
10.275974,16,0.240455
10.652819,28,0.269596
5.649466,9,0.281475
6.265958,16,0.293488
7.472316,12,0.305544
6.511736,19,0.324798
46.480811,34,0.34789
7.057524,10,0.34789
12.737811,17,0.383365
3.112776,7,0.389447
4.40077,14,0.400441
22.648629,30,0.414149
32.648203,27,0.44745
10.229772,12,0.456447
41.192654,30,0.464129
7.296722,10,0.491889
6.688172,13,0.503062
11.762595,25,0.522986
14.84577,23,0.534965
7.561135,16,0.567943
5.82095,10,0.577036
5.19123,13,0.588501
4.844858,11,0.607619
6.666083,11,0.618644
23.311197,25,0.641054
8.660338,11,0.647529
5.802371,9,0.647529
7.288906,13,0.667718
13.498651,15,0.678638
6.919146,15,0.691906
4.725459,13,0.706416
6.411444,10,0.719322
12.400845,14,0.732264
42.15141,42,0.769708
6.98475,14,0.782629
6.758352,11,0.790627
6.736831,11,0.797492
29.248962,41,0.841302
15.858666,16,0.932771
24.463093,23,0.978682
4.635224,10,0.980623
36.341427,27,1.020519
57.191857,41,1.074021
10.668184,23,1.097787
23.057198,22,1.118022
23.351485,25,1.140836
5.79657,17,1.165354
3.33349,8,1.17335
21.681782,25,1.195372
6.444932,11,1.197367
26.238172,25,1.2275
7.854118,12,1.24177
5.411065,10,1.250323
8.806983,36,1.288968
64.790403,48,1.313826
17.944185,21,1.345089
31.85611,24,1.365415
10.486543,17,1.386572
8.539957,19,1.4038
12.499575,18,1.414558
8.1629,11,1.414558
2.05171,12,1.436901
6.001392,10,1.443901
5.422235,9,1.453192
5.726225,9,1.459192
24.61426,23,1.467997
10.764361,14,1.497578
27.106363,24,1.515788
3.240812,7,1.521883
19.011332,22,1.539972
12.069069,16,1.553972
45.547033,35,1.583044
7.839317,23,1.611544
14.980919,16,1.625494
3.397059,8,1.630645
7.267057,13,1.630645
9.192824,27,1.668582
5.834752,9,1.676581
4.04535,16,1.690536
11.153483,14,1.709507
14.309706,16,1.726135
6.932825,10,1.735211
5.380041,24,1.747072
11.603596,14,1.767223
15.924264,34,1.796588
6.493036,9,1.797143
26.92618,29,1.836825
6.039177,10,1.844821
5.121361,9,1.852829
13.937429,15,1.864273
8.940254,27,1.890384
6.451123,15,1.903595
5.248582,11,1.91186
7.122379,14,1.933777
15.539971,36,1.963552
38.249744,64,2.01928
4.498913,10,2.026771
5.037709,10,2.045716
21.41004,22,2.069061
6.328382,13,2.079982
26.204954,24,2.10047
28.681203,26,2.121243
4.799859,8,2.126243
17.587667,22,2.146755
20.355353,46,2.191625
9.461357,17,2.201981
10.335995,35,2.236027
4.396432,20,2.246926
13.10611,18,2.274009
19.054237,18,2.289672
5.549794,12,2.299588
4.203092,10,2.308674
13.853265,16,2.313488
3.009639,8,2.329507
16.003578,20,2.347718
11.042186,15,2.360717
4.192104,10,2.363446
14.83736,16,2.390115
7.665275,13,2.402503
6.980465,16,2.413462
6.16099,15,2.428418
29.956969,29,2.45221
4.683599,9,2.459211
9.64989,23,2.478423
7.953336,14,2.4802
7.575268,18,2.508784
11.0293,15,2.523948
20.73569,27,2.545865
3.470803,10,2.546763
8.6632,14,2.567806
5.638981,12,2.576806
74.04596,61,2.739376
11.643429,13,2.753003
17.488267,20,2.771003
7.967995,12,2.779862
12.218537,19,2.797065
8.518284,18,2.823645
8.283428,12,2.83004
