#{"t_start": 1766964799.7671454, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.04764
7.662429,11,0.062966
22.287682,34,0.098321
25.121899,25,0.123924
4.921485,9,0.132645
10.271563,13,0.155089
6.556565,16,0.171419
66.024221,54,0.268183
2.466249,13,0.285531
16.619939,22,0.301174
4.457297,16,0.322412
6.715124,13,0.325569
12.503936,26,0.363316
7.184478,12,0.372315
8.614413,17,0.397921
15.917773,17,0.413305
18.387399,19,0.426074
4.285538,25,0.453061
3.783874,9,0.462043
14.972254,17,0.475899
48.366849,47,0.528296
9.835925,12,0.539314
5.829714,12,0.551374
7.999923,12,0.562168
9.047734,13,0.578169
153.631347,89,0.668413
15.636945,17,0.68289
11.770485,18,0.69757
15.050233,15,0.711177
10.546067,14,0.712947
2.917897,11,0.745586
0.751416,10,0.75553
5.860046,14,0.767235
21.965336,38,0.798608
8.55035,12,0.807608
19.901821,26,0.82561
4.290396,13,0.82561
2.769377,22,0.868816
8.540224,17,0.883698
19.506904,21,0.901679
23.165097,23,0.920809
12.835927,23,0.941282
3.580798,8,0.942283
34.010558,35,0.984686
3.570263,13,0.999486
7.555982,18,1.016442
29.365916,28,1.04584
7.000498,20,1.06623
7.44122,11,1.095436
5.70621,16,1.119009
25.51595,22,1.142164
6.15948,11,1.153177
7.755022,22,1.175803
87.220438,57,1.240101
20.383835,19,1.259183
16.45679,20,1.277179
90.273191,64,1.338737
4.592053,13,1.349882
10.148467,22,1.461877
4.535065,8,1.487617
18.027996,19,1.503952
27.103966,32,1.534638
13.903429,24,1.542269
8.812967,14,1.578052
11.361199,16,1.592293
9.090427,30,1.618037
8.990264,16,1.633318
13.782497,15,1.647333
7.952443,13,1.658178
5.620902,11,1.658178
6.998999,13,1.690309
9.048349,13,1.702613
11.206567,19,1.719698
13.422845,18,1.734732
11.727407,13,1.746246
7.023481,10,1.75424
9.160439,12,1.765237
5.144736,9,1.77322
13.003913,15,1.774828
8.394247,20,1.808689
7.834122,20,1.828233
20.098531,23,1.841496
9.217888,16,1.861978
25.97181,23,1.880432
15.631346,29,1.912733
1.560211,11,1.920959
10.652371,18,1.937343
5.711612,10,1.941614
12.551176,19,1.961435
6.581463,10,1.970442
113.135947,77,2.036885
33.206882,29,2.064433
8.770149,30,2.090711
88.731987,76,2.163152
0.983221,23,2.185103
10.039516,19,2.20136
5.256911,9,2.210305
10.731108,12,2.232884
18.132857,21,2.247859
10.093216,11,2.257941
9.95063,12,2.274764
9.008999,18,2.292068
2.491039,9,2.300064
16.916768,25,2.315067
3.071114,18,2.336523
19.203824,38,2.358029
7.2183,15,2.390723
10.529799,14,2.405465
15.355458,20,2.423071
29.837231,32,2.451301
7.683469,12,2.462301
10.774399,17,2.474247
43.321382,26,2.503513
7.378757,17,2.510365
11.236152,21,2.53725
6.211752,14,2.541257
8.06519,11,2.559453
7.969432,11,2.568449
53.843088,40,2.600056
8.563986,16,2.618927
5.248335,10,2.628789
9.089035,17,2.64379
13.827493,27,2.657719
20.142267,24,2.688142
11.156186,13,2.699133
4.748772,19,2.714811
5.211792,10,2.729868
7.031574,20,2.746308
5.284949,9,2.746308
8.382847,11,2.765403
5.101501,9,2.771403
