#{"t_start": 1766977572.4712582, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.048196
5.648457,9,0.05953
10.968701,24,0.086418
20.740834,21,0.103154
5.500698,10,0.111183
15.137462,21,0.130267
4.141844,7,0.146516
5.895497,13,0.158516
6.871935,11,0.169739
7.687083,11,0.180418
3.875698,25,0.205217
10.275974,16,0.22069
10.652819,28,0.242208
5.649466,9,0.247954
6.265958,16,0.270371
7.472316,12,0.281371
6.511736,19,0.298367
46.480811,34,0.326876
7.057524,10,0.335553
12.737811,17,0.355032
3.112776,7,0.36104
4.40077,14,0.386021
22.648629,30,0.418009
32.648203,27,0.441847
10.229772,12,0.451016
41.192654,30,0.48406
7.296722,10,0.496572
6.688172,13,0.507573
11.762595,25,0.527649
14.84577,23,0.546399
7.561135,16,0.577916
5.82095,10,0.59427
5.19123,13,0.602985
4.844858,11,0.614477
6.666083,11,0.629328
23.311197,25,0.652327
8.660338,11,0.662325
5.802371,9,0.669343
7.288906,13,0.669343
13.498651,15,0.694362
6.919146,15,0.717619
4.725459,13,0.728614
6.411444,10,0.739513
12.400845,14,0.750653
42.15141,42,0.784855
6.98475,14,0.796898
6.758352,11,0.81065
6.736831,11,0.824273
29.248962,41,0.857908
15.858666,16,0.871688
24.463093,23,0.890019
4.635224,10,0.899801
36.341427,27,0.92591
57.191857,41,0.963706
10.668184,23,0.984126
23.057198,22,1.003898
23.351485,25,1.037218
5.79657,17,1.053384
3.33349,8,1.061387
21.681782,25,1.083024
6.444932,11,1.093202
26.238172,25,1.121977
7.854118,12,1.146797
5.411065,10,1.155796
8.806983,36,1.186827
64.790403,48,1.231419
17.944185,21,1.262852
31.85611,24,1.287507
10.486543,17,1.287507
8.539957,19,1.31858
12.499575,18,1.330624
8.1629,11,1.354378
2.05171,12,1.37428
6.001392,10,1.429711
5.422235,9,1.447283
5.726225,9,1.474498
24.61426,23,1.495502
10.764361,14,1.500198
27.106363,24,1.531143
3.240812,7,1.539666
19.011332,22,1.56011
12.069069,16,1.584729
45.547033,35,1.600198
7.839317,23,1.631237
14.980919,16,1.647034
3.397059,8,1.654609
7.267057,13,1.656554
9.192824,27,1.694086
5.834752,9,1.705671
4.04535,16,1.719465
11.153483,14,1.731486
14.309706,16,1.745948
6.932825,10,1.755439
5.380041,24,1.774117
11.603596,14,1.786166
15.924264,34,1.82227
6.493036,9,1.82827
26.92618,29,1.851319
6.039177,10,1.862133
5.121361,9,1.871322
13.937429,15,1.883967
8.940254,27,1.902987
6.451123,15,1.902987
5.248582,11,1.934671
7.122379,14,1.944665
15.539971,36,1.973239
38.249744,64,2.028699
4.498913,10,2.045251
5.037709,10,2.056088
21.41004,22,2.077476
6.328382,13,2.088278
26.204954,24,2.109136
28.681203,26,2.117138
4.799859,8,2.137649
17.587667,22,2.162343
20.355353,46,2.199506
9.461357,17,2.213431
10.335995,35,2.243627
4.396432,20,2.262343
13.10611,18,2.28839
19.054237,18,2.303
5.549794,12,2.311996
4.203092,10,2.321079
13.853265,16,2.335612
3.009639,8,2.341635
16.003578,20,2.358654
11.042186,15,2.370967
4.192104,10,2.378993
14.83736,16,2.403193
7.665275,13,2.412193
6.980465,16,2.416948
6.16099,15,2.433741
29.956969,29,2.462534
4.683599,9,2.466929
9.64989,23,2.487034
7.953336,14,2.506697
7.575268,18,2.520684
11.0293,15,2.531683
20.73569,27,2.550296
3.470803,10,2.550296
8.6632,14,2.574667
5.638981,12,2.58349
74.04596,61,2.633549
11.643429,13,2.654354
17.488267,20,2.667334
7.967995,12,2.667334
12.218537,19,2.697954
8.518284,18,2.721957
8.283428,12,2.730957
20.188139,19,2.747426
15.442477,36,2.776776
6.725647,10,2.78541
9.155097,15,2.798459
34.599658,32,2.833101
6.737202,16,2.845101
52.364776,36,2.874787
5.590821,10,2.883367
6.830369,12,2.883367
3.425161,17,2.906758
8.26903,13,2.919087
6.656048,19,2.943153
5.551156,13,2.954003
4.749443,9,2.962027
48.558054,39,2.99457
21.53275,23,3.012848
9.701852,27,3.044853
13.33036,18,3.060853
22.81395,24,3.066672
66.473354,60,3.116766
24.723966,28,3.163393
18.654169,21,3.180645
6.856654,12,3.191212
20.400854,28,3.212603
8.844413,23,3.216671
11.193838,15,3.243585
6.726912,11,3.259871
19.197888,22,3.277873
67.100558,48,3.316509
12.308885,13,3.316509
16.356683,19,3.339579
34.891457,48,3.391396
6.56064,33,3.41651
6.172509,13,3.41651
7.288792,11,3.433003
4.150342,11,3.433003
6.205943,11,3.4532
4.567522,9,3.456947
8.719024,13,3.466561
9.134478,15,3.466561
44.183804,37,3.516432
5.538234,9,3.516432
66.635251,45,3.558822
7.13884,13,3.566388
3.877435,21,3.582965
4.459428,9,3.582965
15.333086,26,3.618891
27.268843,34,3.647146
20.588887,20,3.664708
9.93815,14,3.761798
27.407073,37,3.811279
8.222929,11,3.822443
9.969257,14,3.83896
19.730637,23,3.863462
77.501495,58,3.91231
8.358864,13,3.916394
3.033453,10,3.916394
4.726664,12,3.940886
5.220178,12,3.960052
23.18901,26,3.982866
62.123276,48,4.016273
8.647904,12,4.033609
19.809087,19,5.963057
6.225069,13,5.973653
33.10008,29,6.004039
17.371469,18,6.024023
38.490054,34,6.052749
62.329036,36,6.082546
6.961702,16,6.082546
9.631561,14,6.194021
24.037931,25,6.240404
56.10882,37,6.273323
31.990298,29,6.301234
5.038429,16,6.316636
55.545531,56,6.375137
10.481227,27,6.399194
44.109539,42,6.442904
20.281543,25,6.462904
17.108134,21,6.481809
17.292601,29,6.504152
3.780755,11,6.512152
92.421251,51,6.563422
12.026359,24,6.584422
99.677028,63,6.636089
8.215701,15,6.650369
6.295546,12,6.660124
15.977372,17,6.684218
10.703124,17,6.696218
16.826573,23,6.714961
22.256199,21,6.730124
14.368602,20,6.737874
7.035729,11,6.748448
95.162836,54,6.803312
5.884803,12,6.813311
71.153826,42,6.850305
5.934122,10,6.858325
15.86152,24,6.879009
19.798887,24,6.908917
6.841105,11,6.917923
22.55907,25,6.937737
25.21447,25,6.956048
5.05512,10,6.966922
38.257098,41,6.997598
5.155988,11,7.007918
18.161186,20,7.03277
41.05041,37,7.055858
8.725559,24,7.082423
8.273502,23,7.109859
36.46527,33,7.144159
7.009274,34,7.173171
47.949122,41,7.210786
8.399528,22,7.22982
64.424576,41,7.27498
10.695652,17,7.28747
13.179738,21,7.303888
3.204816,10,7.310888
9.276577,14,7.314978
3.684451,17,7.335365
27.307924,33,7.370111
64.689184,50,7.416629
14.902014,17,7.428672
5.904108,17,7.443336
21.920483,29,7.470069
13.213169,16,7.492593
15.833984,24,7.512593
8.330522,11,7.51462
8.298879,32,7.548284
11.808902,13,7.563318
7.924677,11,7.572706
17.954834,20,7.618738
20.826974,26,7.639343
14.719094,31,7.674593
10.52946,12,7.686703
34.908822,29,7.717433
12.081142,15,7.728433
17.514852,19,7.743238
13.327913,17,7.747837
12.096961,14,7.764448
15.696468,17,7.781096
24.642245,37,7.822499
11.769914,17,7.835138
20.272114,28,7.857697
16.939898,26,7.879509
142.974865,73,7.94733
14.676797,16,7.94784
37.751362,30,7.981684
8.123882,14,7.981684
18.838082,33,8.029767
128.426854,62,8.080994
19.777845,25,8.100437
36.896636,27,8.121769
32.330537,31,8.154599
42.02558,32,8.183069
7.787455,12,8.188322
94.932911,54,8.242666
80.394865,50,8.280971
4.655313,18,8.29525
5.221126,9,8.302353
8.894336,26,8.322145
7.048986,18,8.338363
23.095126,20,8.362951
11.537823,23,8.383956
15.446063,34,8.41441
36.637504,30,8.449801
9.983808,18,8.476135
7.74953,16,8.490134
9.463013,26,8.514298
11.685721,22,8.534966
10.505493,14,8.630798
40.590378,32,8.681571
7.485684,11,8.696976
35.041802,29,8.714829
4.94253,16,8.735082
7.134572,16,8.746857
35.916193,33,8.774505
48.048958,40,8.816185
7.962356,30,8.840184
46.204865,42,8.870164
161.57254,102,8.961476
5.663443,9,8.970252
3.237248,13,8.9826
56.372283,45,9.018237
22.570509,32,9.050575
10.756004,15,9.062575
8.112623,28,9.086728
1.954922,10,9.094757
19.648154,20,9.109059
134.152874,77,9.184613
21.629417,36,9.21388
5.476636,22,9.230708
11.244353,25,9.247161
22.607886,24,9.279011
34.977792,37,9.297424
12.640411,26,9.328848
11.78187,25,9.351111
34.170969,26,9.383722
6.63951,19,9.400723
4.94956,9,9.406723
5.966133,17,9.419723
12.804315,14,9.430468
81.176132,62,9.489197
20.360339,20,9.506172
14.955454,24,9.528923
45.633556,46,9.57374
207.882083,111,9.688046
10.210077,14,9.711792
6.260383,9,9.720786
9.356604,13,9.730328
9.791663,18,9.747087
41.436907,34,9.778665
12.517481,34,9.817309
5.959266,23,9.841307
10.747128,15,9.855667
7.066828,10,9.863543
12.120004,16,9.875587
16.400899,31,9.902906
15.814467,17,9.928198
12.505762,16,9.942194
39.698401,31,12.0462
20.440126,21,12.065011
44.290445,43,12.109891
61.609392,45,12.147958
26.372006,23,12.16857
13.016058,22,12.194861
56.542323,41,12.229446
6.345124,11,12.229446
31.642412,25,12.26092
125.469406,67,12.331431
20.406392,33,12.36451
22.721615,21,12.386036
85.600932,77,12.459986
94.227528,52,12.504945
30.189575,32,12.542949
140.210846,73,12.603203
36.314441,32,12.63112
5.818711,28,12.661782
15.737757,27,12.681976
47.195026,36,12.711512
196.861855,89,12.788043
88.878098,51,12.828924
11.949773,38,12.845478
73.807075,43,12.895155
25.263227,48,12.936908
37.630543,36,12.964261
14.922119,25,12.984555
24.444036,20,13.009228
85.510297,48,13.049561
8.422305,11,13.057572
120.287698,62,13.107471
73.988343,43,13.155555
16.209766,23,13.174121
127.133642,80,13.2479
9.114095,27,13.262671
61.902352,42,13.30331
23.915218,34,13.340111
155.526594,124,13.450413
10.447419,29,13.47427
15.604576,16,13.486629
3.449366,11,13.495189
101.485694,56,13.542649
5.330245,19,13.682143
143.517128,83,13.76186
141.259989,78,13.845116
76.101855,44,13.879793
72.732688,42,13.922727
9.535201,13,13.934384
91.105367,50,13.96797
49.350481,46,14.015952
53.126444,32,14.044673
10.277919,13,14.055535
110.722859,73,14.113737
82.588204,47,14.158972
75.60905,49,14.19899
8.309096,13,14.209024
125.422459,81,14.283922
87.018522,48,14.32149
78.153338,45,14.358313
6.297533,11,14.374807
73.034603,42,14.408486
11.16043,13,14.417583
22.3293,19,14.432232
21.254098,20,14.448945
55.530707,33,14.473513
12.61797,17,14.499503
56.189237,34,14.528119
6.084043,10,14.536436
13.705905,19,14.550829
31.857228,27,14.573462
13.179725,19,14.5999
12.434684,16,14.613522
27.074398,26,14.636152
16.825611,25,14.655069
6.736188,17,14.66949
61.56752,49,14.721668
14.109163,19,14.736204
27.003701,30,14.761317
8.295825,12,14.771357
60.334345,35,14.80592
80.49252,49,14.852763
9.016347,14,14.86523
7.110298,10,14.87124
175.591581,114,14.961312
45.521351,37,15.002354
23.849062,23,15.029609
95.303331,54,15.069586
124.219594,63,15.118965
116.390933,62,15.177968
90.919986,60,15.250082
21.529362,21,15.267024
17.304535,34,15.294472
70.167243,43,15.327753
152.265907,81,15.411201
131.535005,82,15.493352
83.321113,74,15.55023
172.041454,89,15.623109
194.225168,97,15.70447
39.038943,41,15.737694
11.66601,25,15.759377
7.789726,14,15.766381
13.447705,14,15.788252
12.004723,16,15.801247
73.011798,41,17.768398
140.409366,70,17.824835
96.374445,71,17.889246
65.209914,38,17.916933
72.522745,42,17.950541
155.969049,75,18.019778
18.477727,18,18.035578
9.808077,15,18.04736
100.676135,61,18.106571
191.808813,85,18.176432
145.148606,72,18.244183
20.05416,20,18.261997
301.563385,170,18.417454
9.791178,13,18.521356
8.503416,29,18.566546
121.276239,68,18.61779
117.577243,80,18.703653
43.503923,34,18.736231
101.713916,54,18.790964
60.859179,35,18.820592
37.19596,36,18.851685
213.182127,94,18.938351
7.11679,10,18.947397
7.015452,11,18.947397
56.294879,58,19.011251
85.755834,49,19.053538
51.914209,45,19.091133
16.689722,21,19.116393
14.482106,15,19.127965
63.43345,37,19.163161
105.483509,64,19.222403
12.66015,15,19.235405
213.998758,113,19.313722
67.94254,48,19.367251
9.238174,22,19.394922
7.480837,16,19.407964
158.470787,75,19.478844
40.819419,32,19.50623
46.387644,49,19.549456
23.618544,24,19.579263
146.272774,78,19.639982
41.642168,38,19.67852
17.505312,19,19.697354
63.47278,41,19.725488
74.173585,48,19.769435
72.132278,40,19.808679
78.333252,47,19.85208
90.152355,51,19.912167
77.203387,44,19.947458
107.190546,61,20.006812
139.942446,73,20.068721
52.920038,42,20.11721
31.81415,35,20.141337
82.327372,49,20.187321
44.200262,34,20.222646
122.8232,80,20.291498
123.513585,77,20.358403
94.415557,51,20.39785
27.238257,23,20.42172
142.818699,76,20.496749
102.530184,82,20.573654
49.971058,52,20.622126
42.378766,31,20.649077
6.291542,12,20.660198
112.09905,57,20.71308
157.670699,72,20.883607
111.999737,61,20.945977
35.235128,29,20.969579
58.35444,33,21.001857
193.398785,132,21.127928
11.369513,14,21.13993
60.984254,36,21.167652
141.33265,70,21.222604
68.419369,40,21.264345
95.192004,52,21.313224
40.31761,49,21.373034
153.303567,73,21.440104
69.888846,45,21.483816
62.657971,36,21.513473
3.228055,13,21.526525
143.346703,69,21.591133
86.736022,46,21.628897
138.538364,70,21.694799
34.221671,28,23.628871
210.620639,93,23.716796
171.553834,83,23.785936
7.150001,10,23.795704
169.149494,104,23.890706
175.221885,89,23.97307
71.340425,41,24.00701
81.798801,50,24.068938
159.003684,77,24.140099
159.339997,77,24.206903
65.946055,39,24.253566
73.684889,44,24.307394
139.267836,82,24.39322
89.151004,57,24.441779
80.61352,48,24.488849
94.003545,50,24.530402
60.714251,35,24.559548
142.808656,73,24.620727
119.220876,90,24.680827
213.623911,110,24.779525
96.141786,52,24.832001
119.664645,62,24.883534
84.553709,48,24.922622
99.705842,58,25.026516
61.088712,41,25.188392
55.322551,32,25.277307
56.799498,33,25.314321
84.409103,55,25.377136
41.222644,31,25.403369
258.212971,145,25.542954
83.190223,58,25.611015
86.944027,51,25.749775
9.405288,13,25.77139
50.864672,36,25.814934
32.887041,25,25.841564
226.048836,105,25.974515
106.1981,56,26.056301
83.201632,59,26.114053
182.977652,85,26.201406
130.259018,65,26.27019
178.457261,92,26.363689
45.143633,34,26.387521
9.367946,14,26.403374
143.750875,71,26.478532
78.421536,48,26.521114
