#{"t_start": 1766970605.5862126, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.048674
7.662429,11,0.051176
22.287682,34,0.088667
25.121899,25,0.098459
4.921485,9,0.114013
10.271563,13,0.114013
6.556565,16,0.151926
66.024221,54,0.199027
2.466249,13,0.200598
16.619939,22,0.215949
4.457297,16,0.231897
6.715124,13,0.258518
12.503936,26,0.28019
7.184478,12,0.28019
8.614413,17,0.297655
15.917773,17,0.318462
18.387399,19,0.330171
4.285538,25,0.35292
3.783874,9,0.368549
14.972254,17,0.381726
48.366849,47,0.413749
9.835925,12,0.430434
5.829714,12,0.430434
7.999923,12,0.448275
9.047734,13,0.469951
153.631347,89,0.547734
15.636945,17,0.5599
11.770485,18,0.586528
15.050233,15,0.600458
10.546067,14,0.615884
2.917897,11,0.632519
0.751416,10,0.641516
5.860046,14,0.646844
21.965336,38,0.696975
8.55035,12,0.709063
19.901821,26,0.732244
4.290396,13,0.745867
2.769377,22,0.764526
8.540224,17,0.786397
19.506904,21,0.808573
23.165097,23,0.829207
12.835927,23,0.846918
3.580798,8,0.846918
34.010558,35,0.886724
3.570263,13,0.906287
7.555982,18,0.913203
29.365916,28,0.945556
7.000498,20,0.964729
7.44122,11,0.972768
5.70621,16,0.986823
25.51595,22,1.017962
6.15948,11,1.028069
7.755022,22,1.051564
87.220438,57,1.109113
20.383835,19,1.142554
16.45679,20,1.164098
90.273191,64,1.241093
4.592053,13,1.375452
10.148467,22,1.398545
4.535065,8,1.402853
18.027996,19,1.418259
27.103966,32,1.434205
13.903429,24,1.47794
8.812967,14,1.479681
11.361199,16,1.497838
9.090427,30,1.531119
8.990264,16,1.536802
13.782497,15,1.554017
7.952443,13,1.566447
5.620902,11,1.58318
6.998999,13,1.59218
9.048349,13,1.596508
11.206567,19,1.618644
13.422845,18,1.63015
11.727407,13,1.63528
7.023481,10,1.651295
9.160439,12,1.651295
5.144736,9,1.667244
13.003913,15,1.680973
8.394247,20,1.705199
7.834122,20,1.719463
20.098531,23,1.741649
9.217888,16,1.75018
25.97181,23,1.76595
15.631346,29,1.805508
1.560211,11,1.815994
10.652371,18,1.829081
5.711612,10,1.830977
12.551176,19,1.847825
6.581463,10,1.847825
113.135947,77,1.93296
33.206882,29,1.949574
8.770149,30,1.9805
88.731987,76,2.056015
0.983221,23,2.064991
10.039516,19,2.090692
5.256911,9,2.096698
10.731108,12,2.110332
18.132857,21,2.12644
10.093216,11,2.12644
9.95063,12,2.160764
9.008999,18,2.176888
2.491039,9,2.179315
16.916768,25,2.19668
3.071114,18,2.210496
19.203824,38,2.264863
7.2183,15,2.275917
10.529799,14,2.279313
