#{"t_start": 1766974752.8905942, "env_id": "CustomHopper-source-v0"}
r,l,t
13.179738,21,7.452275
3.204816,10,7.470693
9.276577,14,7.476819
3.684451,17,7.504842
27.307924,33,7.532877
64.689184,50,7.574433
14.902014,17,7.578594
5.904108,17,7.600266
21.920483,29,7.633307
13.213169,16,7.648119
15.833984,24,7.669144
8.330522,11,7.6786
8.298879,32,7.705742
11.808902,13,7.71578
7.924677,11,7.725754
17.954834,20,7.75059
20.826974,26,7.771512
14.719094,31,7.793047
10.52946,12,7.807369
34.908822,29,7.830954
12.081142,15,7.849903
17.514852,19,7.867906
13.327913,17,7.883115
12.096961,14,7.895098
15.696468,17,7.909623
24.642245,37,7.942738
11.769914,17,7.952774
20.272114,28,7.983433
16.939898,26,7.995191
142.974865,73,8.058323
14.676797,16,8.089585
37.751362,30,8.119445
8.123882,14,8.133505
18.838082,33,8.166884
128.426854,62,8.229746
19.777845,25,8.251373
36.896636,27,8.276217
32.330537,31,8.311205
42.02558,32,8.336896
7.787455,12,8.347705
94.932911,54,8.392251
80.394865,50,8.439133
4.655313,18,8.451153
5.221126,9,8.457159
8.894336,26,8.476692
7.048986,18,8.488477
23.095126,20,8.506567
11.537823,23,8.531291
15.446063,34,8.556631
36.637504,30,8.580454
9.983808,18,8.595021
7.74953,16,8.607998
9.463013,26,8.633183
11.685721,22,8.651261
10.505493,14,8.661897
40.590378,32,8.686351
7.485684,11,8.694386
35.041802,29,8.717906
4.94253,16,8.740466
7.134572,16,8.751463
35.916193,33,8.780302
48.048958,40,8.813919
7.962356,30,8.827623
46.204865,42,8.876348
161.57254,102,9.065147
5.663443,9,9.073185
3.237248,13,9.095047
56.372283,45,9.132143
22.570509,32,9.160561
10.756004,15,9.173409
8.112623,28,9.20539
1.954922,10,9.213395
19.648154,20,9.23039
134.152874,77,9.292135
21.629417,36,9.334188
5.476636,22,9.351881
11.244353,25,9.376402
22.607886,24,9.396125
34.977792,37,9.43579
12.640411,26,9.45734
11.78187,25,9.477486
34.170969,26,9.497425
6.63951,19,9.509364
4.94956,9,9.527194
5.966133,17,9.540988
12.804315,14,9.560067
81.176132,62,9.611783
20.360339,20,9.629588
14.955454,24,9.647389
45.633556,46,9.694575
207.882083,111,9.811149
10.210077,14,9.824432
6.260383,9,9.832462
9.356604,13,9.844253
9.791663,18,9.858054
41.436907,34,9.890254
12.517481,34,9.92451
5.959266,23,9.93802
10.747128,15,9.957091
7.066828,10,9.965121
12.120004,16,9.978176
16.400899,31,10.014854
15.814467,17,10.023709
12.505762,16,10.043609
39.698401,31,11.938751
20.440126,21,11.955824
44.290445,43,11.985432
61.609392,45,12.042391
26.372006,23,12.061629
13.016058,22,12.079521
56.542323,41,12.102377
6.345124,11,12.130933
31.642412,25,12.150932
125.469406,67,12.20963
20.406392,33,12.252027
22.721615,21,12.273083
85.600932,77,12.355783
94.227528,52,12.40239
30.189575,32,12.428215
140.210846,73,12.496392
36.314441,32,12.523227
5.818711,28,12.541128
15.737757,27,12.573994
47.195026,36,12.598001
196.861855,89,12.671925
88.878098,51,12.715888
11.949773,38,12.746276
73.807075,43,12.782581
25.263227,48,12.829046
37.630543,36,12.856752
14.922119,25,12.873342
24.444036,20,12.898062
85.510297,48,12.938461
8.422305,11,12.946486
120.287698,62,12.989648
73.988343,43,13.036951
16.209766,23,13.058523
127.133642,80,13.144319
9.114095,27,13.170457
61.902352,42,13.207173
23.915218,34,13.244767
