#{"t_start": 1766966216.6108413, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.073771
5.648457,9,0.086577
10.968701,24,0.113345
20.740834,21,0.134229
5.500698,10,0.145228
15.137462,21,0.180434
4.141844,7,0.18843
5.895497,13,0.20387
6.871935,11,0.213728
7.687083,11,0.232411
3.875698,25,0.257413
10.275974,16,0.279798
10.652819,28,0.311055
5.649466,9,0.322343
6.265958,16,0.337047
7.472316,12,0.338942
6.511736,19,0.36784
46.480811,34,0.406709
7.057524,10,0.415761
12.737811,17,0.429996
3.112776,7,0.433332
4.40077,14,0.450155
22.648629,30,0.476288
32.648203,27,0.507417
10.229772,12,0.51851
41.192654,30,0.539977
7.296722,10,0.553719
6.688172,13,0.565744
11.762595,25,0.589125
14.84577,23,0.621394
7.561135,16,0.643891
5.82095,10,0.653881
5.19123,13,0.66715
4.844858,11,0.677335
6.666083,11,0.687404
23.311197,25,0.717293
8.660338,11,0.726297
5.802371,9,0.737238
7.288906,13,0.748835
13.498651,15,0.761924
6.919146,15,0.776093
4.725459,13,0.787052
6.411444,10,0.796052
12.400845,14,0.806698
42.15141,42,0.853947
6.98475,14,0.863946
6.758352,11,0.872028
6.736831,11,0.885591
29.248962,41,0.915675
15.858666,16,0.940148
24.463093,23,0.967093
4.635224,10,0.976093
36.341427,27,0.998376
57.191857,41,1.032206
10.668184,23,1.070389
23.057198,22,1.090748
23.351485,25,1.124256
5.79657,17,1.142333
3.33349,8,1.149642
21.681782,25,1.18483
6.444932,11,1.189175
26.238172,25,1.218292
7.854118,12,1.340813
5.411065,10,1.367259
8.806983,36,1.410898
64.790403,48,1.448957
17.944185,21,1.478778
31.85611,24,1.498762
10.486543,17,1.526369
8.539957,19,1.543764
12.499575,18,1.560295
8.1629,11,1.570921
2.05171,12,1.582411
6.001392,10,1.592408
5.422235,9,1.600433
5.726225,9,1.608424
24.61426,23,1.615508
10.764361,14,1.650377
27.106363,24,1.67278
3.240812,7,1.678778
19.011332,22,1.698062
12.069069,16,1.712858
45.547033,35,1.744068
7.839317,23,1.769872
14.980919,16,1.787027
3.397059,8,1.794035
7.267057,13,1.79954
9.192824,27,1.83059
5.834752,9,1.839589
4.04535,16,1.852895
11.153483,14,1.873746
14.309706,16,1.888926
6.932825,10,1.900007
5.380041,24,1.919324
11.603596,14,1.933849
15.924264,34,1.963222
6.493036,9,1.97589
26.92618,29,2.004581
6.039177,10,2.011581
5.121361,9,2.015162
13.937429,15,2.033551
8.940254,27,2.056538
6.451123,15,2.065935
5.248582,11,2.090298
7.122379,14,2.121706
15.539971,36,2.174686
38.249744,64,2.279698
4.498913,10,2.295246
5.037709,10,2.321048
21.41004,22,2.34007
6.328382,13,2.355904
26.204954,24,2.380417
28.681203,26,2.406281
4.799859,8,2.413276
17.587667,22,2.442533
20.355353,46,2.48165
9.461357,17,2.498668
10.335995,35,2.529665
4.396432,20,2.557302
13.10611,18,2.576033
19.054237,18,2.594002
5.549794,12,2.60499
4.203092,10,2.614301
13.853265,16,2.629328
3.009639,8,2.63686
16.003578,20,2.654374
11.042186,15,2.674327
4.192104,10,2.686321
14.83736,16,2.702612
7.665275,13,2.712612
6.980465,16,2.727629
6.16099,15,2.740613
29.956969,29,2.765819
4.683599,9,2.773841
9.64989,23,2.803818
7.953336,14,2.815389
7.575268,18,2.831666
11.0293,15,2.838566
20.73569,27,2.869193
3.470803,10,2.877197
8.6632,14,2.881688
5.638981,12,2.906827
74.04596,61,2.948237
11.643429,13,2.973469
17.488267,20,2.992379
7.967995,12,2.998254
12.218537,19,3.02441
8.518284,18,3.064758
8.283428,12,3.064758
20.188139,19,3.102369
15.442477,36,3.133924
6.725647,10,3.148751
9.155097,15,3.164061
34.599658,32,3.18207
6.737202,16,3.208132
52.364776,36,3.231217
5.590821,10,3.254201
6.830369,12,3.26716
3.425161,17,3.284739
8.26903,13,3.294738
6.656048,19,3.297992
5.551156,13,3.321019
4.749443,9,3.329024
48.558054,39,3.354049
21.53275,23,3.389561
9.701852,27,3.415108
13.33036,18,3.434611
22.81395,24,3.45363
66.473354,60,3.504783
24.723966,28,3.536772
18.654169,21,3.555038
6.856654,12,3.56613
20.400854,28,3.589262
8.844413,23,3.706487
11.193838,15,3.740594
6.726912,11,3.753167
19.197888,22,3.774076
67.100558,48,3.818353
12.308885,13,3.836202
16.356683,19,3.856031
34.891457,48,3.904412
6.56064,33,3.932922
6.172509,13,3.942946
7.288792,11,3.96059
4.150342,11,3.971264
6.205943,11,3.984505
4.567522,9,3.992505
8.719024,13,3.997887
9.134478,15,4.017167
44.183804,37,4.047526
5.538234,9,4.047526
66.635251,45,4.109041
7.13884,13,4.11487
3.877435,21,4.145408
4.459428,9,4.155391
15.333086,26,4.191299
27.268843,34,4.224876
20.588887,20,4.231549
9.93815,14,4.256159
27.407073,37,4.300034
8.222929,11,4.311059
9.969257,14,4.325612
19.730637,23,4.344612
77.501495,58,4.395014
8.358864,13,4.411889
3.033453,10,4.420924
4.726664,12,4.431432
5.220178,12,4.439524
23.18901,26,4.447415
62.123276,48,4.498232
8.647904,12,4.514565
19.809087,19,6.936189
6.225069,13,6.947113
33.10008,29,6.975309
17.371469,18,6.994969
38.490054,34,7.046293
62.329036,36,7.088184
6.961702,16,7.105204
9.631561,14,7.125032
24.037931,25,7.155604
56.10882,37,7.191902
31.990298,29,7.212875
5.038429,16,7.246738
55.545531,56,7.302063
10.481227,27,7.328857
44.109539,42,7.368371
20.281543,25,7.394197
17.108134,21,7.402066
17.292601,29,7.436264
3.780755,11,7.445264
92.421251,51,7.497543
12.026359,24,7.519557
99.677028,63,7.575705
8.215701,15,7.59534
6.295546,12,7.606611
15.977372,17,7.620365
10.703124,17,7.634141
16.826573,23,7.653606
22.256199,21,7.67153
14.368602,20,7.679306
7.035729,11,7.679306
95.162836,54,7.75205
5.884803,12,7.762028
71.153826,42,7.796898
5.934122,10,7.796898
15.86152,24,7.836969
19.798887,24,7.862397
6.841105,11,7.871706
22.55907,25,7.893091
25.21447,25,7.916344
5.05512,10,7.931992
38.257098,41,7.962342
5.155988,11,7.977563
18.161186,20,7.995055
41.05041,37,8.033164
8.725559,24,8.055347
