#{"t_start": 1766969153.8802848, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.055174
5.648457,9,0.067685
10.968701,24,0.087692
20.740834,21,0.102566
5.500698,10,0.102566
15.137462,21,0.130549
4.141844,7,0.134559
5.895497,13,0.16038
6.871935,11,0.170954
7.687083,11,0.181008
3.875698,25,0.191048
10.275974,16,0.206969
10.652819,28,0.242043
5.649466,9,0.250052
6.265958,16,0.271905
7.472316,12,0.281906
6.511736,19,0.298491
46.480811,34,0.328416
7.057524,10,0.334974
12.737811,17,0.351549
3.112776,7,0.357451
4.40077,14,0.367211
22.648629,30,0.401253
32.648203,27,0.416019
10.229772,12,0.43732
41.192654,30,0.456364
7.296722,10,0.468453
6.688172,13,0.468453
11.762595,25,0.510612
14.84577,23,0.529712
7.561135,16,0.55565
5.82095,10,0.564589
5.19123,13,0.665992
4.844858,11,0.690781
6.666083,11,0.705078
23.311197,25,0.737185
8.660338,11,0.746166
5.802371,9,0.754102
7.288906,13,0.757466
13.498651,15,0.772727
6.919146,15,0.794802
4.725459,13,0.804883
6.411444,10,0.804883
12.400845,14,0.820557
42.15141,42,0.869734
6.98475,14,0.884197
6.758352,11,0.901367
6.736831,11,0.91778
29.248962,41,0.97065
15.858666,16,0.984088
24.463093,23,1.007619
4.635224,10,1.015108
36.341427,27,1.042222
57.191857,41,1.098802
10.668184,23,1.120133
23.057198,22,1.144967
23.351485,25,1.174884
5.79657,17,1.192735
3.33349,8,1.202688
21.681782,25,1.228129
6.444932,11,1.238158
26.238172,25,1.259752
7.854118,12,1.26676
5.411065,10,1.26676
8.806983,36,1.3174
64.790403,48,1.359114
17.944185,21,1.376765
31.85611,24,1.405706
10.486543,17,1.419633
8.539957,19,1.433988
12.499575,18,1.449596
8.1629,11,1.451607
2.05171,12,1.465312
6.001392,10,1.465312
5.422235,9,1.487902
5.726225,9,1.492696
24.61426,23,1.523321
10.764361,14,1.532412
27.106363,24,1.55213
3.240812,7,1.55213
19.011332,22,1.565866
12.069069,16,1.59151
45.547033,35,1.633767
7.839317,23,1.65346
14.980919,16,1.665216
3.397059,8,1.667756
7.267057,13,1.681383
9.192824,27,1.706947
5.834752,9,1.706947
4.04535,16,1.73694
11.153483,14,1.747945
14.309706,16,1.760796
6.932825,10,1.766281
5.380041,24,1.785216
11.603596,14,1.804978
15.924264,34,1.841403
6.493036,9,1.849411
26.92618,29,1.868088
6.039177,10,1.883676
5.121361,9,1.892069
13.937429,15,1.905187
8.940254,27,1.919654
6.451123,15,1.948795
5.248582,11,1.958798
7.122379,14,1.967221
15.539971,36,2.002135
38.249744,64,2.062725
4.498913,10,2.07172
5.037709,10,2.080718
21.41004,22,2.095856
6.328382,13,2.106855
26.204954,24,2.123868
28.681203,26,2.152711
4.799859,8,2.158718
17.587667,22,2.186522
20.355353,46,2.221837
9.461357,17,2.236277
10.335995,35,2.265945
4.396432,20,2.288664
13.10611,18,2.305157
19.054237,18,2.320032
5.549794,12,2.330851
4.203092,10,2.333805
13.853265,16,2.350523
3.009639,8,2.350523
16.003578,20,2.36727
11.042186,15,2.38572
4.192104,10,2.39372
14.83736,16,2.41504
7.665275,13,2.427041
6.980465,16,2.433784
6.16099,15,2.450758
29.956969,29,2.467144
4.683599,9,2.486553
9.64989,23,2.503955
7.953336,14,2.529504
7.575268,18,2.544507
11.0293,15,2.55559
20.73569,27,2.5682
3.470803,10,2.586475
8.6632,14,2.595474
5.638981,12,2.605461
74.04596,61,2.661617
11.643429,13,2.672358
17.488267,20,2.687494
7.967995,12,2.697494
12.218537,19,2.70061
8.518284,18,2.717048
8.283428,12,2.744272
20.188139,19,2.765583
15.442477,36,2.794267
6.725647,10,2.800314
9.155097,15,2.800314
34.599658,32,2.840239
6.737202,16,2.859641
52.364776,36,2.891382
5.590821,10,2.899378
6.830369,12,2.910167
3.425161,17,2.916983
8.26903,13,2.936053
6.656048,19,2.952752
5.551156,13,2.971444
4.749443,9,2.979444
48.558054,39,3.000224
21.53275,23,3.017807
9.701852,27,3.071954
13.33036,18,3.090199
22.81395,24,3.100243
66.473354,60,3.15706
24.723966,28,3.195991
18.654169,21,3.212318
6.856654,12,3.216827
20.400854,28,3.248975
8.844413,23,3.270233
11.193838,15,3.290637
6.726912,11,3.300039
19.197888,22,3.319924
67.100558,48,3.350044
12.308885,13,3.36773
16.356683,19,3.380856
34.891457,48,3.524804
6.56064,33,3.550078
6.172509,13,3.550078
7.288792,11,3.570915
4.150342,11,3.580667
6.205943,11,3.590156
4.567522,9,3.591489
8.719024,13,3.615892
9.134478,15,3.629276
44.183804,37,3.649944
5.538234,9,3.666607
66.635251,45,3.699944
7.13884,13,3.724399
3.877435,21,3.742577
4.459428,9,3.750614
15.333086,26,3.76723
27.268843,34,3.796107
20.588887,20,3.807426
9.93815,14,3.816624
27.407073,37,3.862168
8.222929,11,3.871747
9.969257,14,3.889929
19.730637,23,3.910001
77.501495,58,3.965066
8.358864,13,3.977165
3.033453,10,3.986223
4.726664,12,3.99414
5.220178,12,3.999959
23.18901,26,4.026764
62.123276,48,4.065138
8.647904,12,4.082507
19.809087,19,6.107817
6.225069,13,6.115458
33.10008,29,6.13428
17.371469,18,6.171153
38.490054,34,6.19875
62.329036,36,6.215739
6.961702,16,6.232057
9.631561,14,6.253253
24.037931,25,6.283332
56.10882,37,6.314962
31.990298,29,6.332866
5.038429,16,6.355596
55.545531,56,6.398962
10.481227,27,6.431991
44.109539,42,6.467823
20.281543,25,6.495232
17.108134,21,6.51166
17.292601,29,6.536084
3.780755,11,6.543834
92.421251,51,6.585935
12.026359,24,6.612622
99.677028,63,6.665322
8.215701,15,6.665322
6.295546,12,6.688371
15.977372,17,6.698713
10.703124,17,6.729987
16.826573,23,6.749195
22.256199,21,6.773429
14.368602,20,6.788349
7.035729,11,6.798688
95.162836,54,6.856746
5.884803,12,6.865846
71.153826,42,6.900938
5.934122,10,6.904645
15.86152,24,6.930448
19.798887,24,6.958238
6.841105,11,6.967321
22.55907,25,6.987621
25.21447,25,7.006006
5.05512,10,7.006006
38.257098,41,7.031826
5.155988,11,7.048434
18.161186,20,7.077208
41.05041,37,7.105438
8.725559,24,7.121946
8.273502,23,7.133021
36.46527,33,7.165735
7.009274,34,7.202895
47.949122,41,7.231767
8.399528,22,7.255273
64.424576,41,7.290411
10.695652,17,7.311245
13.179738,21,7.328248
3.204816,10,7.331665
9.276577,14,7.348249
3.684451,17,7.348249
27.307924,33,7.390419
64.689184,50,7.439857
14.902014,17,7.452621
5.904108,17,7.46494
21.920483,29,7.488469
13.213169,16,7.498385
15.833984,24,7.514885
8.330522,11,7.543357
8.298879,32,7.565011
11.808902,13,7.588338
7.924677,11,7.598314
17.954834,20,7.614958
20.826974,26,7.652906
14.719094,31,7.679984
10.52946,12,7.689414
34.908822,29,7.698184
12.081142,15,7.715227
17.514852,19,7.732003
13.327913,17,7.766346
12.096961,14,7.778433
15.696468,17,7.791239
24.642245,37,7.815292
11.769914,17,7.833815
20.272114,28,7.86218
16.939898,26,7.886199
142.974865,73,7.945585
14.676797,16,7.958417
37.751362,30,7.995764
8.123882,14,8.007943
18.838082,33,8.033696
128.426854,62,8.0938
19.777845,25,8.114722
36.896636,27,8.142813
32.330537,31,8.170987
42.02558,32,8.195476
7.787455,12,8.299143
94.932911,54,8.377603
80.394865,50,8.425671
4.655313,18,8.45746
5.221126,9,8.467474
8.894336,26,8.497878
7.048986,18,8.517039
23.095126,20,8.536698
11.537823,23,8.577324
15.446063,34,8.614581
36.637504,30,8.647977
9.983808,18,8.676092
7.74953,16,8.694106
9.463013,26,8.722954
11.685721,22,8.743952
10.505493,14,8.747888
40.590378,32,8.79582
7.485684,11,8.80499
35.041802,29,8.834019
4.94253,16,8.847684
7.134572,16,8.865582
35.916193,33,8.892865
48.048958,40,8.936736
7.962356,30,8.961891
46.204865,42,9.000627
161.57254,102,9.097559
5.663443,9,9.11242
3.237248,13,9.114539
56.372283,45,9.164465
22.570509,32,9.19745
10.756004,15,9.210348
8.112623,28,9.235291
1.954922,10,9.251998
19.648154,20,9.268
134.152874,77,9.327298
21.629417,36,9.36806
5.476636,22,9.385614
11.244353,25,9.397453
22.607886,24,9.429383
34.977792,37,9.470144
12.640411,26,9.490218
11.78187,25,9.511295
34.170969,26,9.530828
6.63951,19,9.547934
