#{"t_start": 1766956233.334566, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.042491
7.662429,11,0.054801
22.287682,34,0.090802
25.121899,25,0.113065
4.921485,9,0.122662
10.271563,13,0.145826
6.556565,16,0.162142
66.024221,54,0.217568
2.466249,13,0.228661
16.619939,22,0.254129
4.457297,16,0.26897
6.715124,13,0.273244
12.503936,26,0.304964
7.184478,12,0.316048
8.614413,17,0.331047
15.917773,17,0.347612
18.387399,19,0.362169
4.285538,25,0.389878
3.783874,9,0.389878
14.972254,17,0.415959
48.366849,47,0.43966
9.835925,12,0.470237
5.829714,12,0.483261
7.999923,12,0.493265
9.047734,13,0.504181
153.631347,89,0.588713
15.636945,17,0.607007
11.770485,18,0.623293
15.050233,15,0.623293
10.546067,14,0.639744
2.917897,11,0.668998
0.751416,10,0.679084
5.860046,14,0.696809
21.965336,38,0.731781
8.55035,12,0.739587
19.901821,26,0.763859
4.290396,13,0.773169
2.769377,22,0.794281
8.540224,17,0.81294
19.506904,21,0.831788
23.165097,23,0.83971
12.835927,23,0.874031
3.580798,8,0.881158
34.010558,35,0.918589
3.570263,13,0.932601
7.555982,18,0.947117
29.365916,28,0.972321
7.000498,20,0.988335
7.44122,11,0.998732
5.70621,16,1.011861
25.51595,22,1.038638
6.15948,11,1.04152
7.755022,22,1.071685
87.220438,57,1.163215
20.383835,19,1.216125
16.45679,20,1.259273
90.273191,64,1.324179
4.592053,13,1.337191
10.148467,22,1.358471
4.535065,8,1.374333
18.027996,19,1.393055
27.103966,32,1.4059
13.903429,24,1.44301
8.812967,14,1.455018
11.361199,16,1.461931
9.090427,30,1.507402
8.990264,16,1.519399
13.782497,15,1.532501
7.952443,13,1.538814
5.620902,11,1.538814
6.998999,13,1.566525
9.048349,13,1.57952
11.206567,19,1.588858
13.422845,18,1.619362
11.727407,13,1.631012
7.023481,10,1.639911
9.160439,12,1.639911
5.144736,9,1.655885
13.003913,15,1.671942
8.394247,20,1.690269
7.834122,20,1.706552
20.098531,23,1.730807
9.217888,16,1.746619
25.97181,23,1.765619
15.631346,29,1.789969
1.560211,11,1.802039
10.652371,18,1.816124
5.711612,10,1.822041
12.551176,19,1.846282
6.581463,10,1.856514
113.135947,77,1.922271
33.206882,29,1.938819
8.770149,30,1.982145
88.731987,76,2.048012
0.983221,23,2.058251
10.039516,19,2.089769
5.256911,9,2.100164
10.731108,12,2.109519
18.132857,21,2.12246
10.093216,11,2.12246
9.95063,12,2.146691
9.008999,18,2.161697
2.491039,9,2.169702
16.916768,25,2.198029
3.071114,18,2.212878
19.203824,38,2.238952
7.2183,15,2.257098
10.529799,14,2.269191
15.355458,20,2.284179
29.837231,32,2.318564
7.683469,12,2.328792
10.774399,17,2.339039
43.321382,26,2.364064
7.378757,17,2.378067
11.236152,21,2.388918
6.211752,14,2.410038
8.06519,11,2.422659
7.969432,11,2.433658
53.843088,40,2.455558
8.563986,16,2.479777
5.248335,10,2.487692
9.089035,17,2.5011
13.827493,27,2.545674
20.142267,24,2.583953
11.156186,13,2.599408
4.748772,19,2.636376
5.211792,10,2.647317
7.031574,20,2.664247
5.284949,9,2.672284
8.382847,11,2.672284
5.101501,9,2.691298
6.838257,11,2.701315
3.728011,13,2.713372
5.657526,26,2.72212
7.563526,15,2.755259
23.439241,24,2.776634
6.732502,12,2.784642
5.014178,10,2.792806
9.321676,18,2.809926
7.472679,14,2.822921
8.684303,13,2.831919
7.35951,18,2.838701
7.908853,14,2.867547
8.266506,14,2.879999
9.558094,12,2.889918
13.119721,16,2.902911
25.701051,27,2.926563
15.108551,18,2.940612
5.225768,8,2.946636
22.814791,27,2.955403
4.809927,8,2.98299
18.242715,22,3.003413
9.897994,14,3.013956
5.261403,11,3.02245
9.078084,11,3.026447
7.482308,17,3.045469
8.381051,16,3.057473
8.617539,29,3.072057
6.957898,10,3.097673
13.847489,20,3.113758
7.4851,30,3.138676
12.09094,17,3.143334
12.02078,14,3.164059
11.7494,13,3.17406
10.588332,29,3.188657
9.307317,18,3.218948
9.069751,13,3.231916
28.876057,42,3.255159
38.304616,53,3.308952
10.853191,17,3.329993
15.352676,20,3.34601
5.708239,11,3.353927
7.433844,16,3.355185
9.848111,17,3.371781
30.46641,44,3.414922
4.714563,10,3.424636
16.37694,27,3.464081
4.309115,10,3.475265
5.846024,11,3.48334
7.922372,16,3.488667
4.718425,14,3.512601
11.672354,16,3.527421
59.66334,47,3.571482
9.569057,14,3.59089
5.673818,10,3.598886
5.701155,9,3.606922
7.176589,18,3.62233
10.524451,27,3.644425
6.509763,10,3.651426
13.269319,19,3.675223
9.552379,12,3.677558
5.341659,9,3.692943
11.834643,21,3.710772
6.248918,11,3.719772
6.90704,25,3.740534
4.889146,8,3.745618
2.378643,10,3.752606
13.375718,25,3.779801
5.68089,10,3.78872
31.445127,28,3.809849
12.724147,22,3.821602
16.51125,21,3.840734
10.828651,15,3.853734
10.743881,14,3.863735
7.079338,16,3.876091
15.215479,22,3.895256
11.334891,16,3.915538
16.335345,20,3.921595
2.885974,10,3.941645
8.054889,12,3.950647
5.594871,9,3.957722
60.050938,46,5.670657
17.632781,19,5.686649
19.164212,20,5.693154
8.370032,12,5.719215
9.119891,15,5.748752
19.032739,28,5.778886
30.255589,26,5.787556
4.083579,12,5.810008
14.206428,23,5.839121
10.662293,27,5.862203
36.390309,40,5.895171
20.916243,22,5.911171
9.152746,13,5.920692
6.307331,12,5.920692
23.921926,30,5.966706
4.555499,9,5.974825
6.451928,11,5.984807
3.637612,8,5.992869
53.011024,52,6.037321
15.220741,15,6.037321
5.659924,10,6.066529
11.342711,16,6.081108
15.436535,19,6.097013
11.561277,22,6.103953
31.386232,38,6.146122
7.815455,15,6.153973
3.423583,16,6.17952
5.490963,9,6.187829
14.451912,17,6.201826
28.003263,24,6.220483
8.293778,13,6.220483
32.173056,31,6.258205
10.623325,20,6.270437
3.227976,18,6.301399
39.161245,35,6.330095
6.823221,10,6.337197
52.506658,49,6.378347
3.861812,10,6.387745
6.883938,11,6.387745
7.033967,12,6.41533
18.357053,20,6.433887
76.190044,43,6.469903
14.984087,16,6.484257
9.74982,22,6.502244
8.724343,13,6.520891
36.138877,44,6.554333
42.750813,47,6.596821
13.078475,19,6.608338
11.594229,20,6.620452
6.507229,12,6.642908
25.062311,23,6.667195
13.6855,14,6.670274
20.906903,22,6.686903
78.805339,68,6.753057
12.984796,17,6.773733
4.72403,9,6.779733
29.01726,29,6.803267
40.032929,32,6.828722
19.648778,22,6.847727
21.446975,19,6.853499
19.81616,20,6.884815
15.955213,16,6.900017
19.765409,27,6.923779
28.270859,38,6.954771
14.270597,16,6.967754
159.359071,89,7.151434
8.932303,22,7.17092
22.606124,20,7.186375
19.881861,20,7.214205
10.981497,15,7.232547
83.947011,48,7.281521
18.26518,23,7.30296
8.876783,15,7.30296
23.618497,25,7.346116
7.186697,12,7.357921
16.492737,17,7.370919
10.227412,25,7.392059
26.257593,23,7.402933
188.112466,118,7.518005
72.73718,61,7.574718
60.356181,59,7.619324
12.769243,17,7.64154
9.8492,26,7.668873
6.369316,11,7.672542
23.537959,20,7.693123
21.668639,35,7.721532
66.72372,47,7.758395
77.686297,46,7.801163
17.460328,17,7.816225
26.824553,26,7.83789
10.056969,16,7.850967
14.937001,19,7.86588
59.587128,44,7.907576
11.700841,28,7.927576
4.266212,10,7.934576
16.159045,22,7.953666
8.264043,14,7.965666
174.633896,106,8.053035
93.498027,54,8.115433
29.323045,25,8.140823
10.916091,14,8.162595
75.496113,69,8.221815
14.266882,20,8.245176
32.583978,26,8.265534
13.995929,19,8.279995
10.246468,14,8.290703
12.841557,13,8.30164
49.576114,49,8.336374
26.931923,26,8.371028
14.401871,16,8.383024
13.167088,18,8.397113
93.574435,53,8.435157
28.290568,31,8.452511
8.645217,18,8.480443
12.380321,21,8.499724
7.481391,29,8.51908
9.659048,14,8.53461
8.522727,18,8.550861
112.672382,77,8.625169
4.462507,20,8.643169
3.686182,11,8.653585
12.286486,17,8.666652
6.846045,11,8.675983
43.641296,38,8.720888
35.296798,49,8.765449
33.345659,29,8.785719
18.078833,20,8.822908
34.075213,37,8.859617
27.991328,25,8.881319
39.369593,35,8.91165
13.397349,15,8.930783
41.209244,30,8.957156
8.738583,20,8.975468
10.702323,13,8.987433
19.319607,23,9.007548
182.667913,98,9.096455
125.72722,65,9.15669
15.430232,17,9.176874
73.262367,41,9.209953
9.868487,15,9.224674
13.942449,18,9.235452
3.947344,11,9.235452
66.407565,70,9.302021
40.517532,31,9.341015
13.790339,31,9.364854
76.456785,43,9.409312
14.312617,31,9.436341
25.185855,20,9.532021
31.657687,39,9.568585
12.619731,34,11.039276
