#{"t_start": 1767021848.0468931, "env_id": "CustomHopper-source-v0"}
r,l,t
10.644075,20,1.433232
55.669883,65,1.443597
63.326388,53,1.451953
24.56891,25,1.455926
4.357835,18,1.458772
3.884668,8,1.459977
8.783594,24,1.463752
7.613191,15,1.466133
79.064589,62,1.475913
14.774564,19,1.478922
14.976204,19,1.481992
94.41218,50,1.491814
7.499885,11,1.494121
11.016964,22,1.497585
45.314546,40,1.503902
15.197032,21,1.507241
8.850252,15,1.509572
21.020196,19,1.512561
13.712233,17,1.515208
7.671056,10,1.516726
14.346451,22,1.520171
4.881172,10,1.521895
33.404641,31,1.526826
79.494794,57,1.535845
11.777042,30,1.540862
13.999328,28,1.545348
37.526345,38,1.551323
3.047454,8,1.552506
64.6606,53,1.56095
42.515254,44,1.567949
10.847543,15,1.570287
6.930701,12,1.572192
8.870401,29,1.576714
7.667514,15,1.578984
36.000297,35,1.584409
85.914602,69,1.59528
11.758121,19,1.600455
6.056117,27,1.604745
12.358383,23,1.60855
10.418206,17,1.611206
5.703663,18,1.614042
78.436882,48,1.621549
59.696587,51,1.629373
10.289838,17,1.632056
129.484703,64,1.641914
21.909182,22,1.645368
75.875317,57,1.654343
4.674257,20,1.657655
14.519129,17,1.660291
7.795691,13,1.662305
93.024796,60,1.671758
8.283807,13,1.673832
15.902979,26,1.677948
26.231605,33,1.683172
12.386523,16,1.685679
5.088398,9,1.687048
11.338791,23,1.690803
6.237803,9,1.692133
13.776369,19,1.695092
6.34642,24,1.698803
3.431402,15,1.701171
10.093488,20,1.706796
6.566605,15,1.709204
12.507472,29,1.713736
20.180346,20,1.716811
10.000665,23,1.720384
12.011355,24,1.724757
46.011497,40,1.731048
8.838189,13,1.733088
63.434637,54,1.742161
17.082426,17,1.745134
13.913851,18,1.749267
98.761072,67,1.760847
23.479144,28,1.765282
17.056075,23,1.768868
16.562492,21,1.772519
30.004879,29,1.77749
18.468804,18,1.780339
11.298202,16,1.782804
13.26823,23,1.786524
12.935848,17,1.78943
93.483609,69,1.800726
42.795426,37,1.807034
16.302433,17,1.812496
61.46091,36,1.818338
39.86527,30,1.823839
85.609456,56,1.832625
118.948506,60,2.2968
19.338692,20,2.300055
6.336152,15,2.302443
185.207694,101,2.318778
21.294375,52,2.327047
30.569871,24,2.330808
78.489344,45,2.351395
5.665227,9,2.353382
33.118517,24,2.360235
8.424423,16,2.362864
4.002061,9,2.364306
33.188894,37,2.37026
119.072662,62,2.380157
47.016364,39,2.386436
8.568706,11,2.388297
17.099667,19,2.391322
120.229235,67,2.401873
39.918531,31,2.40688
23.290427,24,2.410647
125.433689,63,2.420712
12.847394,16,2.423326
43.211397,59,2.432642
53.990574,47,2.442244
9.402915,15,2.445208
39.414084,45,2.452427
80.717912,47,2.459845
18.377797,27,2.464191
58.594558,36,2.469979
132.801366,67,2.481095
9.173462,11,2.48286
5.714156,14,2.485054
21.695083,20,2.488327
34.862012,23,2.492131
17.445679,17,2.4948
9.145023,14,2.497034
27.387455,34,2.502395
34.19635,30,2.50721
27.49796,27,2.511449
27.412024,26,2.515616
129.3222,63,2.525477
9.380723,16,2.52799
7.625783,12,2.529903
99.994952,55,2.538336
22.251577,20,2.541634
27.985153,24,2.545397
15.389004,17,2.550441
15.381168,15,2.552859
25.38517,25,2.55707
8.214672,12,2.558926
30.024836,27,2.563066
3.930651,11,2.564778
89.382858,50,2.572839
46.991302,27,2.57721
26.732138,31,2.582215
14.497546,26,2.586417
134.062459,74,2.598255
7.312294,10,2.59983
91.69291,50,2.607794
111.73802,58,2.616622
9.972164,12,2.618418
83.946026,48,2.626167
76.372948,43,2.632994
18.734926,22,2.636452
10.065222,22,2.640113
15.397967,19,2.643138
49.441075,38,2.649153
69.04632,41,2.658533
96.935997,50,2.66636
29.942266,27,2.670645
