#{"t_start": 1766949942.4678538, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.0659
7.662429,11,0.082631
22.287682,34,0.105366
25.121899,25,0.134989
4.921485,9,0.140045
10.271563,13,0.180295
6.556565,16,0.195996
66.024221,54,0.248901
2.466249,13,0.257396
16.619939,22,0.26662
4.457297,16,0.304334
6.715124,13,0.317206
12.503936,26,0.333138
7.184478,12,0.347175
8.614413,17,0.36358
15.917773,17,0.371878
18.387399,19,0.399977
4.285538,25,0.429315
3.783874,9,0.43939
14.972254,17,0.449984
48.366849,47,0.48828
9.835925,12,0.499775
5.829714,12,0.526481
7.999923,12,0.543244
9.047734,13,0.549058
153.631347,89,0.647641
15.636945,17,0.663589
11.770485,18,0.672023
15.050233,15,0.692029
10.546067,14,0.704199
2.917897,11,0.714354
0.751416,10,0.720593
5.860046,14,0.749006
21.965336,38,0.781246
8.55035,12,0.782919
19.901821,26,0.805365
4.290396,13,0.823699
2.769377,22,0.931578
8.540224,17,0.956444
19.506904,21,0.988424
23.165097,23,1.016143
12.835927,23,1.040002
3.580798,8,1.050027
34.010558,35,1.091627
3.570263,13,1.101591
7.555982,18,1.116759
29.365916,28,1.149764
7.000498,20,1.172325
7.44122,11,1.182872
5.70621,16,1.199396
25.51595,22,1.235276
6.15948,11,1.243178
7.755022,22,1.249621
87.220438,57,1.323249
20.383835,19,1.342424
16.45679,20,1.356659
90.273191,64,1.416196
4.592053,13,1.416196
10.148467,22,1.456745
4.535065,8,1.46478
18.027996,19,1.482764
27.103966,32,1.512971
13.903429,24,1.532635
8.812967,14,1.565246
11.361199,16,1.573568
9.090427,30,1.599121
8.990264,16,1.615137
13.782497,15,1.630185
7.952443,13,1.638578
5.620902,11,1.649755
6.998999,13,1.66782
9.048349,13,1.68307
11.206567,19,1.700084
13.422845,18,1.719843
11.727407,13,1.723851
7.023481,10,1.740321
9.160439,12,1.750948
5.144736,9,1.75873
13.003913,15,1.766074
8.394247,20,1.797104
7.834122,20,1.816155
20.098531,23,1.833211
9.217888,16,1.848465
25.97181,23,1.871571
15.631346,29,1.906149
1.560211,11,1.916932
10.652371,18,1.934851
5.711612,10,1.942875
12.551176,19,1.951688
6.581463,10,1.965074
113.135947,77,2.144903
33.206882,29,2.165844
8.770149,30,2.182965
88.731987,76,2.273184
0.983221,23,2.291243
10.039516,19,2.298918
5.256911,9,2.314882
10.731108,12,2.327592
18.132857,21,2.345779
10.093216,11,2.349052
9.95063,12,2.37486
9.008999,18,2.392962
2.491039,9,2.398983
16.916768,25,2.421198
3.071114,18,2.439962
19.203824,38,2.465544
7.2183,15,2.490171
10.529799,14,2.503773
15.355458,20,2.515108
29.837231,32,2.547091
7.683469,12,2.556543
10.774399,17,2.571013
43.321382,26,2.582175
7.378757,17,2.615425
11.236152,21,2.631254
6.211752,14,2.648875
8.06519,11,2.648875
7.969432,11,2.665568
53.843088,40,2.698743
8.563986,16,2.726401
5.248335,10,2.73232
9.089035,17,2.749001
13.827493,27,2.765427
20.142267,24,2.794072
11.156186,13,2.804563
4.748772,19,2.815454
5.211792,10,2.841213
7.031574,20,2.865562
5.284949,9,2.877573
8.382847,11,2.882029
5.101501,9,2.895446
6.838257,11,2.901889
3.728011,13,2.91539
5.657526,26,2.946794
7.563526,15,2.962012
23.439241,24,2.981975
6.732502,12,2.994278
5.014178,10,2.998449
9.321676,18,3.020299
7.472679,14,3.034326
8.684303,13,3.037755
7.35951,18,3.065745
7.908853,14,3.082036
8.266506,14,3.090158
9.558094,12,3.106582
13.119721,16,3.119601
25.701051,27,3.13779
15.108551,18,3.148795
5.225768,8,3.171702
22.814791,27,3.197078
4.809927,8,3.199091
18.242715,22,3.215178
9.897994,14,3.232568
5.261403,11,3.237955
9.078084,11,3.249139
7.482308,17,3.265677
8.381051,16,3.291628
8.617539,29,3.315142
6.957898,10,3.315142
