#{"t_start": 1766961939.0014608, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.0445
7.662429,11,0.055204
22.287682,34,0.091142
25.121899,25,0.113899
4.921485,9,0.123209
10.271563,13,0.149925
6.556565,16,0.16705
66.024221,54,0.221496
2.466249,13,0.235495
16.619939,22,0.260101
4.457297,16,0.279067
6.715124,13,0.293767
12.503936,26,0.316993
7.184478,12,0.329014
8.614413,17,0.345014
15.917773,17,0.367759
18.387399,19,0.384958
4.285538,25,0.400546
3.783874,9,0.415828
14.972254,17,0.435043
48.366849,47,0.485432
9.835925,12,0.505502
5.829714,12,0.517414
7.999923,12,0.517836
9.047734,13,0.543911
153.631347,89,0.650534
15.636945,17,0.665635
11.770485,18,0.688638
15.050233,15,0.704837
10.546067,14,0.720911
2.917897,11,0.729912
0.751416,10,0.740241
5.860046,14,0.75103
21.965336,38,0.781725
8.55035,12,0.783596
19.901821,26,0.81795
4.290396,13,0.81795
2.769377,22,0.849001
8.540224,17,0.864007
19.506904,21,0.880364
23.165097,23,0.898634
12.835927,23,0.917456
3.580798,8,0.931978
34.010558,35,0.961553
3.570263,13,0.967899
7.555982,18,0.987537
29.365916,28,1.009533
7.000498,20,1.016968
7.44122,11,1.033782
5.70621,16,1.061427
25.51595,22,1.083779
6.15948,11,1.097502
7.755022,22,1.131056
87.220438,57,1.201363
20.383835,19,1.233596
16.45679,20,1.351861
90.273191,64,1.433954
4.592053,13,1.433954
10.148467,22,1.465041
4.535065,8,1.472957
18.027996,19,1.490716
27.103966,32,1.522782
13.903429,24,1.533448
8.812967,14,1.555945
11.361199,16,1.568856
9.090427,30,1.592156
8.990264,16,1.614873
13.782497,15,1.620565
7.952443,13,1.640516
5.620902,11,1.650395
6.998999,13,1.650395
9.048349,13,1.671576
11.206567,19,1.689497
13.422845,18,1.699939
11.727407,13,1.715707
7.023481,10,1.731059
9.160439,12,1.735228
5.144736,9,1.751989
13.003913,15,1.764074
8.394247,20,1.766645
7.834122,20,1.798227
20.098531,23,1.81637
9.217888,16,1.81637
25.97181,23,1.854142
15.631346,29,1.883359
1.560211,11,1.889198
10.652371,18,1.907749
5.711612,10,1.917556
12.551176,19,1.933248
6.581463,10,1.933652
113.135947,77,2.009925
33.206882,29,2.034125
8.770149,30,2.049696
88.731987,76,2.116834
0.983221,23,2.148501
10.039516,19,2.165579
5.256911,9,2.16632
10.731108,12,2.19015
18.132857,21,2.208306
10.093216,11,2.217381
9.95063,12,2.227379
9.008999,18,2.2335
2.491039,9,2.2335
16.916768,25,2.271755
3.071114,18,2.283117
19.203824,38,2.322493
7.2183,15,2.339776
10.529799,14,2.351829
15.355458,20,2.36572
29.837231,32,2.390963
7.683469,12,2.401685
10.774399,17,2.417184
43.321382,26,2.441625
7.378757,17,2.461477
11.236152,21,2.467119
6.211752,14,2.49083
8.06519,11,2.498828
7.969432,11,2.508979
53.843088,40,2.545383
8.563986,16,2.560256
5.248335,10,2.570279
9.089035,17,2.610381
13.827493,27,2.635907
20.142267,24,2.667626
11.156186,13,2.667626
4.748772,19,2.700669
5.211792,10,2.710668
7.031574,20,2.730107
5.284949,9,2.738113
8.382847,11,2.748029
5.101501,9,2.749402
6.838257,11,2.764912
3.728011,13,2.785721
5.657526,26,2.810279
7.563526,15,2.825222
23.439241,24,2.845399
6.732502,12,2.855423
5.014178,10,2.8638
9.321676,18,2.86662
7.472679,14,2.899972
8.684303,13,2.904223
7.35951,18,2.926265
7.908853,14,2.932888
8.266506,14,2.950197
9.558094,12,2.95928
13.119721,16,2.972288
25.701051,27,2.982547
15.108551,18,3.012975
5.225768,8,3.022478
22.814791,27,3.044861
4.809927,8,3.049775
18.242715,22,3.068775
9.897994,14,3.079869
5.261403,11,3.088876
9.078084,11,3.096775
7.482308,17,3.099169
8.381051,16,3.128503
8.617539,29,3.153419
6.957898,10,3.161419
13.847489,20,3.166066
7.4851,30,3.202522
12.09094,17,3.215825
12.02078,14,3.215825
11.7494,13,3.244452
10.588332,29,3.269823
9.307317,18,3.281823
9.069751,13,3.282651
28.876057,42,3.327917
38.304616,53,3.379842
10.853191,17,3.383042
15.352676,20,3.410063
5.708239,11,3.419983
7.433844,16,3.43414
9.848111,17,3.438005
30.46641,44,3.492749
4.714563,10,3.500226
16.37694,27,3.524586
4.309115,10,3.531586
5.846024,11,3.539917
7.922372,16,3.552362
4.718425,14,3.653222
11.672354,16,3.667115
59.66334,47,3.732728
9.569057,14,3.732728
5.673818,10,3.756929
5.701155,9,3.764935
7.176589,18,3.782485
10.524451,27,3.812624
6.509763,10,3.822512
13.269319,19,3.83327
9.552379,12,3.85376
5.341659,9,3.86376
11.834643,21,3.882469
6.248918,11,3.882469
6.90704,25,3.936109
4.889146,8,3.944276
2.378643,10,3.958721
13.375718,25,3.984452
5.68089,10,3.994462
31.445127,28,4.030317
12.724147,22,4.051719
16.51125,21,4.070203
10.828651,15,4.087489
10.743881,14,4.101575
7.079338,16,4.116984
15.215479,22,4.145664
11.334891,16,4.153891
16.335345,20,4.180652
2.885974,10,4.187893
8.054889,12,4.187893
5.594871,9,4.2085
60.050938,46,5.931742
17.632781,19,5.951328
19.164212,20,5.973523
8.370032,12,5.981727
9.119891,15,5.997175
19.032739,28,6.020678
30.255589,26,6.031845
4.083579,12,6.06159
14.206428,23,6.084152
10.662293,27,6.102957
