#{"t_start": 1766971958.1143646, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.050506
5.648457,9,0.073333
10.968701,24,0.096118
20.740834,21,0.113118
5.500698,10,0.12115
15.137462,21,0.1432
4.141844,7,0.156155
5.895497,13,0.168297
6.871935,11,0.177297
7.687083,11,0.190164
3.875698,25,0.207137
10.275974,16,0.223199
10.652819,28,0.248493
5.649466,9,0.26351
6.265958,16,0.276509
7.472316,12,0.281916
6.511736,19,0.302795
46.480811,34,0.331757
7.057524,10,0.331757
12.737811,17,0.356388
3.112776,7,0.370667
4.40077,14,0.379667
22.648629,30,0.398409
32.648203,27,0.414957
10.229772,12,0.431581
41.192654,30,0.454297
7.296722,10,0.474055
6.688172,13,0.485527
11.762595,25,0.498718
14.84577,23,0.515075
7.561135,16,0.531653
5.82095,10,0.531653
5.19123,13,0.553881
4.844858,11,0.55666
6.666083,11,0.577543
23.311197,25,0.603813
8.660338,11,0.619018
5.802371,9,0.628014
7.288906,13,0.632003
13.498651,15,0.648655
6.919146,15,0.664513
4.725459,13,0.675288
6.411444,10,0.686313
12.400845,14,0.707222
42.15141,42,0.73183
6.98475,14,0.75424
6.758352,11,0.761992
6.736831,11,0.770581
29.248962,41,0.814436
15.858666,16,0.827526
24.463093,23,0.847436
4.635224,10,0.854675
36.341427,27,0.872414
57.191857,41,0.915781
10.668184,23,0.941254
23.057198,22,0.948172
23.351485,25,0.970942
5.79657,17,0.982346
3.33349,8,0.999009
21.681782,25,1.025621
6.444932,11,1.044469
26.238172,25,1.065633
7.854118,12,1.076128
5.411065,10,1.088038
8.806983,36,1.128163
64.790403,48,1.179876
17.944185,21,1.199444
31.85611,24,1.219376
10.486543,17,1.236799
8.539957,19,1.352405
12.499575,18,1.395691
8.1629,11,1.406695
2.05171,12,1.414754
6.001392,10,1.414754
5.422235,9,1.432268
5.726225,9,1.432268
24.61426,23,1.464628
10.764361,14,1.477018
27.106363,24,1.505422
3.240812,7,1.514225
19.011332,22,1.531925
12.069069,16,1.548051
