#{"t_start": 1766959038.6356523, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.052311
7.662429,11,0.068806
22.287682,34,0.104735
25.121899,25,0.129625
4.921485,9,0.136666
10.271563,13,0.186419
6.556565,16,0.20443
66.024221,54,0.264561
2.466249,13,0.277391
16.619939,22,0.297139
4.457297,16,0.311929
6.715124,13,0.322531
12.503936,26,0.342183
7.184478,12,0.342183
8.614413,17,0.37635
15.917773,17,0.391392
18.387399,19,0.408391
4.285538,25,0.430433
3.783874,9,0.436445
14.972254,17,0.449468
48.366849,47,0.494723
9.835925,12,0.504945
5.829714,12,0.514615
7.999923,12,0.523615
9.047734,13,0.525618
153.631347,89,0.619543
15.636945,17,0.634109
11.770485,18,0.641596
15.050233,15,0.66358
10.546067,14,0.672662
2.917897,11,0.683577
0.751416,10,0.694694
5.860046,14,0.709653
21.965336,38,0.742158
8.55035,12,0.742158
19.901821,26,0.778469
4.290396,13,0.789468
2.769377,22,0.804747
8.540224,17,0.830178
19.506904,21,0.84981
23.165097,23,0.859102
12.835927,23,0.8891
3.580798,8,0.896086
34.010558,35,0.935575
3.570263,13,0.94563
7.555982,18,0.963513
29.365916,28,0.985454
7.000498,20,1.002766
7.44122,11,1.013013
5.70621,16,1.027176
25.51595,22,1.050574
6.15948,11,1.067134
7.755022,22,1.086486
87.220438,57,1.168119
20.383835,19,1.185051
16.45679,20,1.202055
90.273191,64,1.293113
4.592053,13,1.351172
10.148467,22,1.388519
4.535065,8,1.392368
18.027996,19,1.42257
27.103966,32,1.452557
13.903429,24,1.475329
8.812967,14,1.489355
11.361199,16,1.502044
9.090427,30,1.534446
8.990264,16,1.551195
13.782497,15,1.563174
7.952443,13,1.574891
5.620902,11,1.574891
6.998999,13,1.597511
9.048349,13,1.609537
11.206567,19,1.624899
13.422845,18,1.654493
11.727407,13,1.669107
7.023481,10,1.678141
9.160439,12,1.688191
5.144736,9,1.696217
13.003913,15,1.70806
8.394247,20,1.725158
7.834122,20,1.740155
20.098531,23,1.769296
9.217888,16,1.777205
25.97181,23,1.803487
15.631346,29,1.826785
1.560211,11,1.835734
10.652371,18,1.849819
5.711612,10,1.859342
12.551176,19,1.884047
6.581463,10,1.893325
113.135947,77,1.958361
33.206882,29,1.990036
8.770149,30,2.020485
88.731987,76,2.093477
0.983221,23,2.115021
10.039516,19,2.124928
5.256911,9,2.124928
10.731108,12,2.147833
18.132857,21,2.167064
10.093216,11,2.176986
9.95063,12,2.18598
9.008999,18,2.20788
2.491039,9,2.216015
16.916768,25,2.237719
3.071114,18,2.24152
19.203824,38,2.282942
7.2183,15,2.296336
10.529799,14,2.315669
15.355458,20,2.333496
29.837231,32,2.358387
7.683469,12,2.358387
10.774399,17,2.383754
43.321382,26,2.412936
7.378757,17,2.427597
11.236152,21,2.443161
6.211752,14,2.453156
8.06519,11,2.458385
7.969432,11,2.458385
53.843088,40,2.504754
8.563986,16,2.508521
5.248335,10,2.534318
9.089035,17,2.550004
13.827493,27,2.572347
20.142267,24,2.591255
11.156186,13,2.60443
4.748772,19,2.624347
5.211792,10,2.633589
7.031574,20,2.662574
5.284949,9,2.662574
8.382847,11,2.683551
5.101501,9,2.689466
6.838257,11,2.700465
3.728011,13,2.712803
5.657526,26,2.725092
7.563526,15,2.741392
23.439241,24,2.779373
6.732502,12,2.789373
5.014178,10,2.799966
9.321676,18,2.813653
7.472679,14,2.82744
8.684303,13,2.837603
7.35951,18,2.853514
7.908853,14,2.858174
8.266506,14,2.882467
9.558094,12,2.898865
13.119721,16,2.910869
25.701051,27,2.930254
15.108551,18,2.946312
5.225768,8,2.952312
22.814791,27,2.972308
4.809927,8,2.978596
18.242715,22,3.004138
9.897994,14,3.007859
5.261403,11,3.007859
9.078084,11,3.032203
7.482308,17,3.046748
8.381051,16,3.05979
8.617539,29,3.081667
6.957898,10,3.088667
13.847489,20,3.091213
7.4851,30,3.138481
12.09094,17,3.152988
12.02078,14,3.157911
11.7494,13,3.17513
10.588332,29,3.199121
9.307317,18,3.208036
9.069751,13,3.224584
28.876057,42,3.267519
38.304616,53,3.306784
10.853191,17,3.320781
15.352676,20,3.324481
5.708239,11,3.35232
7.433844,16,3.359367
9.848111,17,3.381142
30.46641,44,3.414561
4.714563,10,3.421561
16.37694,27,3.441339
4.309115,10,3.45625
5.846024,11,3.477119
7.922372,16,3.493744
4.718425,14,3.50574
11.672354,16,3.50787
59.66334,47,3.561918
9.569057,14,3.659248
5.673818,10,3.671245
5.701155,9,3.682242
7.176589,18,3.691083
10.524451,27,3.730878
6.509763,10,3.738863
13.269319,19,3.752878
9.552379,12,3.764287
5.341659,9,3.764287
11.834643,21,3.790248
6.248918,11,3.799336
6.90704,25,3.80776
4.889146,8,3.83428
2.378643,10,3.841079
13.375718,25,3.865174
5.68089,10,3.874207
31.445127,28,3.893173
12.724147,22,3.907742
16.51125,21,3.92433
10.828651,15,3.92433
10.743881,14,3.955421
7.079338,16,3.957531
15.215479,22,3.988785
11.334891,16,3.990898
16.335345,20,4.018211
2.885974,10,4.027211
8.054889,12,4.036219
5.594871,9,4.040864
60.050938,46,5.607573
17.632781,19,5.6236
19.164212,20,5.652807
8.370032,12,5.658227
9.119891,15,5.678118
19.032739,28,5.69013
30.255589,26,5.727293
4.083579,12,5.736293
14.206428,23,5.764425
10.662293,27,5.788061
36.390309,40,5.822267
20.916243,22,5.838515
9.152746,13,5.8481
6.307331,12,5.86549
23.921926,30,6.003477
4.555499,9,6.012234
6.451928,11,6.021219
3.637612,8,6.023144
53.011024,52,6.073231
15.220741,15,6.085126
5.659924,10,6.102143
11.342711,16,6.119464
15.436535,19,6.135461
11.561277,22,6.140002
31.386232,38,6.190022
7.815455,15,6.215397
3.423583,16,6.226035
5.490963,9,6.243514
14.451912,17,6.256753
28.003263,24,6.283782
8.293778,13,6.296234
32.173056,31,6.323218
10.623325,20,6.341481
3.227976,18,6.366105
39.161245,35,6.389938
6.823221,10,6.406185
52.506658,49,6.451461
3.861812,10,6.461188
6.883938,11,6.469966
7.033967,12,6.480838
18.357053,20,6.494913
76.190044,43,6.528302
14.984087,16,6.539683
9.74982,22,6.565247
8.724343,13,6.576551
36.138877,44,6.609175
42.750813,47,6.645791
13.078475,19,6.656442
11.594229,20,6.685924
6.507229,12,6.690372
25.062311,23,6.717057
13.6855,14,6.728046
20.906903,22,6.744797
78.805339,68,6.804294
12.984796,17,6.80699
4.72403,9,6.827555
29.01726,29,6.849833
40.032929,32,6.874928
19.648778,22,6.892111
21.446975,19,6.911503
19.81616,20,6.933526
15.955213,16,6.946697
19.765409,27,6.965815
28.270859,38,6.989552
14.270597,16,7.020871
159.359071,89,7.108363
8.932303,22,7.130253
22.606124,20,7.153105
19.881861,20,7.156234
10.981497,15,7.181255
83.947011,48,7.22791
18.26518,23,7.24015
8.876783,15,7.26581
23.618497,25,7.28681
7.186697,12,7.297877
16.492737,17,7.31088
10.227412,25,7.322736
26.257593,23,7.353373
188.112466,118,7.439409
72.73718,61,7.504905
60.356181,59,7.550237
12.769243,17,7.55601
9.8492,26,7.589705
6.369316,11,7.601156
23.537959,20,7.618242
21.668639,35,7.647418
66.72372,47,7.683455
77.686297,46,7.731525
17.460328,17,7.744436
26.824553,26,7.765949
10.056969,16,7.777858
14.937001,19,7.789368
59.587128,44,7.836093
11.700841,28,7.856304
4.266212,10,7.856304
16.159045,22,7.886122
8.264043,14,7.896036
174.633896,106,7.988492
93.498027,54,8.041778
29.323045,25,8.06219
10.916091,14,8.076953
75.496113,69,8.130253
14.266882,20,8.1451
32.583978,26,8.176486
13.995929,19,8.19256
10.246468,14,8.204639
12.841557,13,8.205707
49.576114,49,8.26247
26.931923,26,8.395828
14.401871,16,8.413136
13.167088,18,8.433445
93.574435,53,8.489037
28.290568,31,8.52676
8.645217,18,8.538989
12.380321,21,8.564114
7.481391,29,8.589674
9.659048,14,8.589674
8.522727,18,8.623582
112.672382,77,8.682853
4.462507,20,8.697758
3.686182,11,8.705846
12.286486,17,8.705846
6.846045,11,8.736325
43.641296,38,8.768192
35.296798,49,8.807811
33.345659,29,8.82225
18.078833,20,8.851434
34.075213,37,8.883005
27.991328,25,8.893259
39.369593,35,8.932244
13.397349,15,8.938894
41.209244,30,8.973073
8.738583,20,8.996428
10.702323,13,9.007226
19.319607,23,9.027564
182.667913,98,9.117963
125.72722,65,9.172002
15.430232,17,9.198826
73.262367,41,9.238665
9.868487,15,9.255671
13.942449,18,9.276872
3.947344,11,9.28877
66.407565,70,9.355295
40.517532,31,9.386392
13.790339,31,9.419711
76.456785,43,9.455293
14.312617,31,9.481302
25.185855,20,9.496707
31.657687,39,9.52183
12.619731,34,11.053149
132.866852,70,11.11306
14.394872,18,11.129086
4.08116,9,11.137434
18.075386,16,11.137897
68.834737,41,11.191775
91.242277,49,11.231061
58.510997,53,11.283145
7.677511,19,11.290348
23.4689,23,11.317972
43.802793,26,11.342043
7.912825,11,11.351044
5.714551,28,11.371124
31.881647,27,11.400525
96.822454,52,11.443915
82.698424,48,11.482824
95.145781,55,11.549453
10.557081,16,11.564452
27.187387,25,11.589288
13.46144,16,11.603355
39.049407,34,11.642385
6.51598,9,11.644253
13.851138,22,11.669814
12.91504,17,11.670924
90.864982,50,11.720896
72.129076,41,11.756465
210.846966,143,11.887409
7.246942,12,11.897559
77.977795,45,11.930904
122.813183,77,12.000143
124.119487,90,12.070794
12.446111,16,12.070794
147.639193,71,12.137566
128.792755,66,12.211369
15.641708,40,12.246508
63.83629,37,12.276457
65.224549,38,12.304668
89.727502,49,12.363512
65.047896,49,12.413114
13.14003,26,12.444339
53.632915,43,12.486319
130.496908,81,12.54133
14.968858,36,12.587205
22.16253,27,12.603891
29.079314,36,12.639286
10.984839,29,12.653708
23.213603,25,12.688283
10.719395,18,12.705029
188.112925,105,12.770479
16.289705,18,12.803292
88.517748,58,12.837829
121.933152,84,12.928372
9.296993,19,12.93699
6.22153,9,12.93699
20.002088,28,12.975206
76.447142,59,13.02153
9.312641,16,13.044587
107.507632,62,13.099836
61.584796,48,13.234452
92.454829,50,13.293397
150.472533,84,13.375779
16.564301,20,13.391353
200.282659,114,13.488326
10.482794,25,13.520958
141.0675,80,13.57019
9.178065,15,13.603341
12.393086,21,13.621481
82.675982,45,13.660329
206.574172,102,13.753687
60.92244,37,13.784869
28.046731,25,13.824325
