#{"t_start": 1766954735.1085484, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.133518
5.648457,9,0.157518
10.968701,24,0.197869
20.740834,21,0.225938
5.500698,10,0.23817
15.137462,21,0.255164
4.141844,7,0.261247
5.895497,13,0.261247
6.871935,11,0.284327
7.687083,11,0.300313
3.875698,25,0.324455
10.275974,16,0.327676
10.652819,28,0.360492
5.649466,9,0.367532
6.265958,16,0.380605
7.472316,12,0.38962
6.511736,19,0.394323
46.480811,34,0.444951
7.057524,10,0.452034
12.737811,17,0.460942
3.112776,7,0.460942
4.40077,14,0.483233
22.648629,30,0.508124
32.648203,27,0.533606
10.229772,12,0.552678
41.192654,30,0.575229
7.296722,10,0.586154
6.688172,13,0.598301
11.762595,25,0.618513
14.84577,23,0.64681
7.561135,16,0.665358
5.82095,10,0.674359
5.19123,13,0.677575
4.844858,11,0.697591
6.666083,11,0.705582
23.311197,25,0.732718
8.660338,11,0.746854
5.802371,9,0.769495
7.288906,13,0.779831
13.498651,15,0.796529
6.919146,15,0.808543
4.725459,13,0.818526
6.411444,10,0.825526
12.400845,14,0.831998
42.15141,42,0.881257
6.98475,14,0.892259
6.758352,11,0.894191
6.736831,11,0.911277
29.248962,41,0.94364
15.858666,16,0.954854
24.463093,23,0.983827
4.635224,10,0.991832
36.341427,27,1.016661
57.191857,41,1.056402
10.668184,23,1.080833
23.057198,22,1.10748
23.351485,25,1.137114
5.79657,17,1.161677
3.33349,8,1.168674
21.681782,25,1.177429
6.444932,11,1.207857
26.238172,25,1.235664
7.854118,12,1.247126
5.411065,10,1.249438
8.806983,36,1.286322
64.790403,48,1.327006
17.944185,21,1.354539
31.85611,24,1.385035
10.486543,17,1.412754
8.539957,19,1.451809
12.499575,18,1.490142
8.1629,11,1.493971
2.05171,12,1.514081
6.001392,10,1.523081
5.422235,9,1.531099
5.726225,9,1.539098
24.61426,23,1.569063
10.764361,14,1.581616
27.106363,24,1.593954
3.240812,7,1.611831
19.011332,22,1.629915
12.069069,16,1.643769
45.547033,35,1.685476
7.839317,23,1.706381
14.980919,16,1.710438
3.397059,8,1.729604
7.267057,13,1.740611
9.192824,27,1.760404
5.834752,9,1.760404
4.04535,16,1.794235
11.153483,14,1.805232
14.309706,16,1.818506
6.932825,10,1.827177
5.380041,24,1.849156
11.603596,14,1.859161
15.924264,34,1.902513
6.493036,9,1.920253
26.92618,29,1.952707
6.039177,10,1.963903
5.121361,9,1.9729
13.937429,15,2.005603
8.940254,27,2.050668
6.451123,15,2.069529
5.248582,11,2.081583
7.122379,14,2.099443
15.539971,36,2.161739
38.249744,64,2.248107
4.498913,10,2.257069
5.037709,10,2.267942
21.41004,22,2.287788
6.328382,13,2.303912
26.204954,24,2.326811
28.681203,26,2.36154
4.799859,8,2.369116
17.587667,22,2.390291
20.355353,46,2.43463
9.461357,17,2.454049
10.335995,35,2.502014
4.396432,20,2.524835
13.10611,18,2.546331
19.054237,18,2.566865
5.549794,12,2.591244
4.203092,10,2.59717
13.853265,16,2.619618
3.009639,8,2.626621
16.003578,20,2.645932
11.042186,15,2.658933
4.192104,10,2.668937
14.83736,16,2.684987
7.665275,13,2.705951
6.980465,16,2.72723
6.16099,15,2.744258
29.956969,29,2.772613
4.683599,9,2.782357
9.64989,23,2.803899
7.953336,14,2.828362
7.575268,18,2.847356
11.0293,15,2.860055
20.73569,27,2.888002
3.470803,10,2.898003
8.6632,14,2.909873
5.638981,12,2.909873
74.04596,61,2.982795
11.643429,13,2.99563
17.488267,20,3.009551
7.967995,12,3.019642
12.218537,19,3.046859
8.518284,18,3.063392
8.283428,12,3.072391
20.188139,19,3.086484
15.442477,36,3.116296
6.725647,10,3.1253
9.155097,15,3.137299
34.599658,32,3.164463
6.737202,16,3.181984
52.364776,36,3.210175
5.590821,10,3.218175
6.830369,12,3.226183
3.425161,17,3.238175
8.26903,13,3.248538
6.656048,19,3.266068
5.551156,13,3.287239
4.749443,9,3.29263
