#{"t_start": 1766963297.2642136, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.076575
5.648457,9,0.090698
10.968701,24,0.116696
20.740834,21,0.135698
5.500698,10,0.146694
15.137462,21,0.175789
4.141844,7,0.187016
5.895497,13,0.199899
6.871935,11,0.210898
7.687083,11,0.22403
3.875698,25,0.24973
10.275974,16,0.274825
10.652819,28,0.302605
5.649466,9,0.309605
6.265958,16,0.321356
7.472316,12,0.337711
6.511736,19,0.353704
46.480811,34,0.393797
7.057524,10,0.403466
12.737811,17,0.420956
3.112776,7,0.427221
4.40077,14,0.441527
22.648629,30,0.46938
32.648203,27,0.500415
10.229772,12,0.511612
41.192654,30,0.539253
7.296722,10,0.548737
6.688172,13,0.561799
11.762595,25,0.588348
14.84577,23,0.622056
7.561135,16,0.642859
5.82095,10,0.653142
5.19123,13,0.66484
4.844858,11,0.675861
6.666083,11,0.685988
23.311197,25,0.717999
8.660338,11,0.729488
5.802371,9,0.739998
7.288906,13,0.748454
13.498651,15,0.767615
6.919146,15,0.781524
4.725459,13,0.793609
6.411444,10,0.802514
12.400845,14,0.82187
42.15141,42,0.863157
6.98475,14,0.875966
6.758352,11,0.885417
6.736831,11,0.893417
29.248962,41,0.91638
15.858666,16,0.950252
24.463093,23,1.089247
4.635224,10,1.114752
36.341427,27,1.150215
57.191857,41,1.201073
10.668184,23,1.214763
23.057198,22,1.247052
23.351485,25,1.272549
5.79657,17,1.291739
3.33349,8,1.301729
21.681782,25,1.324956
6.444932,11,1.335576
26.238172,25,1.356986
7.854118,12,1.373165
5.411065,10,1.388846
8.806983,36,1.414911
64.790403,48,1.464592
17.944185,21,1.494047
31.85611,24,1.518487
10.486543,17,1.531487
8.539957,19,1.532485
12.499575,18,1.561268
8.1629,11,1.571287
2.05171,12,1.582729
6.001392,10,1.601093
5.422235,9,1.607869
5.726225,9,1.618883
24.61426,23,1.631352
10.764361,14,1.651775
27.106363,24,1.672795
3.240812,7,1.677795
19.011332,22,1.705592
12.069069,16,1.721441
45.547033,35,1.749182
7.839317,23,1.770419
14.980919,16,1.782337
3.397059,8,1.789337
7.267057,13,1.804004
9.192824,27,1.82451
5.834752,9,1.838892
4.04535,16,1.850781
11.153483,14,1.867767
14.309706,16,1.880757
6.932825,10,1.890445
5.380041,24,1.902927
11.603596,14,1.933129
15.924264,34,2.067993
6.493036,9,2.089559
26.92618,29,2.118209
