#{"t_start": 1766944214.3043633, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.065104
5.648457,9,0.077102
10.968701,24,0.102367
20.740834,21,0.113952
5.500698,10,0.131708
15.137462,21,0.164128
4.141844,7,0.167773
5.895497,13,0.183812
6.871935,11,0.195942
7.687083,11,0.207705
3.875698,25,0.230773
10.275974,16,0.246455
10.652819,28,0.279778
5.649466,9,0.287906
6.265958,16,0.303735
7.472316,12,0.313737
6.511736,19,0.328224
46.480811,34,0.359807
7.057524,10,0.376113
12.737811,17,0.394201
3.112776,7,0.400027
4.40077,14,0.408469
22.648629,30,0.430256
32.648203,27,0.459983
10.229772,12,0.4698
41.192654,30,0.505432
7.296722,10,0.517862
6.688172,13,0.529907
11.762595,25,0.551697
14.84577,23,0.577801
7.561135,16,0.604297
5.82095,10,0.613172
5.19123,13,0.626854
4.844858,11,0.63467
6.666083,11,0.642879
23.311197,25,0.666837
8.660338,11,0.674896
5.802371,9,0.683017
7.288906,13,0.711045
13.498651,15,0.722934
6.919146,15,0.731351
4.725459,13,0.747936
6.411444,10,0.756387
12.400845,14,0.766262
42.15141,42,0.792691
6.98475,14,0.822796
6.758352,11,0.833498
6.736831,11,0.846747
29.248962,41,0.881748
15.858666,16,0.898404
24.463093,23,0.909328
4.635224,10,0.935969
36.341427,27,1.078807
57.191857,41,1.127243
10.668184,23,1.16943
23.057198,22,1.18935
23.351485,25,1.213938
5.79657,17,1.232815
3.33349,8,1.237406
21.681782,25,1.269291
6.444932,11,1.277358
26.238172,25,1.301727
7.854118,12,1.309263
5.411065,10,1.329044
8.806983,36,1.359499
64.790403,48,1.416247
17.944185,21,1.425846
31.85611,24,1.459979
10.486543,17,1.4756
8.539957,19,1.501863
12.499575,18,1.516892
8.1629,11,1.525811
2.05171,12,1.525811
6.001392,10,1.546303
5.422235,9,1.555986
5.726225,9,1.565055
24.61426,23,1.58162
10.764361,14,1.592207
27.106363,24,1.626908
3.240812,7,1.633473
19.011332,22,1.652181
12.069069,16,1.662582
45.547033,35,1.698709
7.839317,23,1.709087
14.980919,16,1.744947
3.397059,8,1.751963
7.267057,13,1.762631
9.192824,27,1.775557
5.834752,9,1.791679
4.04535,16,1.806039
11.153483,14,1.814148
14.309706,16,1.82545
6.932825,10,1.851466
5.380041,24,1.874502
11.603596,14,1.882805
15.924264,34,1.917406
6.493036,9,1.923582
26.92618,29,1.960532
6.039177,10,1.968981
5.121361,9,1.974974
13.937429,15,1.986855
8.940254,27,2.010771
6.451123,15,2.018959
5.248582,11,2.027142
7.122379,14,2.043663
15.539971,36,2.091775
38.249744,64,2.150301
4.498913,10,2.164994
5.037709,10,2.188144
21.41004,22,2.208847
6.328382,13,2.208847
26.204954,24,2.240126
28.681203,26,2.258836
4.799859,8,2.265572
17.587667,22,2.293017
20.355353,46,2.325247
9.461357,17,2.351027
