#{"t_start": 1766957568.1830812, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.067756
5.648457,9,0.081752
10.968701,24,0.107133
20.740834,21,0.123941
5.500698,10,0.149645
15.137462,21,0.176677
4.141844,7,0.184937
5.895497,13,0.199354
6.871935,11,0.205352
7.687083,11,0.220292
3.875698,25,0.241288
10.275974,16,0.248968
10.652819,28,0.283002
5.649466,9,0.298638
6.265958,16,0.310642
7.472316,12,0.320662
6.511736,19,0.337701
46.480811,34,0.365658
7.057524,10,0.365658
12.737811,17,0.395126
3.112776,7,0.402525
4.40077,14,0.414849
22.648629,30,0.432318
32.648203,27,0.460604
10.229772,12,0.469518
41.192654,30,0.490058
7.296722,10,0.504485
6.688172,13,0.519606
11.762595,25,0.542141
14.84577,23,0.549201
7.561135,16,0.578065
5.82095,10,0.587149
5.19123,13,0.598498
4.844858,11,0.616187
6.666083,11,0.623983
23.311197,25,0.647831
8.660338,11,0.648977
5.802371,9,0.666041
7.288906,13,0.677038
13.498651,15,0.690038
6.919146,15,0.703509
4.725459,13,0.716033
6.411444,10,0.733872
12.400845,14,0.745659
42.15141,42,0.783925
6.98475,14,0.793916
6.758352,11,0.803916
6.736831,11,0.811917
29.248962,41,0.832094
15.858666,16,0.867617
24.463093,23,0.888682
4.635224,10,0.895682
36.341427,27,0.92088
57.191857,41,0.948693
10.668184,23,0.985349
23.057198,22,1.101262
23.351485,25,1.15505
5.79657,17,1.170773
3.33349,8,1.180036
21.681782,25,1.216486
6.444932,11,1.219813
26.238172,25,1.253537
7.854118,12,1.263551
5.411065,10,1.273276
8.806983,36,1.308785
64.790403,48,1.348445
17.944185,21,1.376863
31.85611,24,1.399324
10.486543,17,1.415795
8.539957,19,1.435487
12.499575,18,1.460088
8.1629,11,1.471092
2.05171,12,1.483392
6.001392,10,1.492437
5.422235,9,1.498099
5.726225,9,1.498099
24.61426,23,1.515889
10.764361,14,1.549971
27.106363,24,1.571454
3.240812,7,1.577458
19.011332,22,1.582416
12.069069,16,1.611991
45.547033,35,1.641019
7.839317,23,1.670741
14.980919,16,1.686099
3.397059,8,1.693098
7.267057,13,1.699046
9.192824,27,1.727654
5.834752,9,1.735711
4.04535,16,1.748035
11.153483,14,1.748035
14.309706,16,1.780609
6.932825,10,1.783573
5.380041,24,1.811993
11.603596,14,1.823118
15.924264,34,1.851256
6.493036,9,1.857256
26.92618,29,1.864686
6.039177,10,1.895606
5.121361,9,1.904661
13.937429,15,1.919669
8.940254,27,1.935441
6.451123,15,1.956993
5.248582,11,1.964999
7.122379,14,1.976993
15.539971,36,2.019624
38.249744,64,2.075402
4.498913,10,2.084301
5.037709,10,2.093376
21.41004,22,2.119555
6.328382,13,2.121463
26.204954,24,2.149002
28.681203,26,2.172491
4.799859,8,2.179382
17.587667,22,2.19819
20.355353,46,2.248182
9.461357,17,2.263256
10.335995,35,2.293078
4.396432,20,2.31006
13.10611,18,2.315562
19.054237,18,2.348712
5.549794,12,2.348712
4.203092,10,2.369522
13.853265,16,2.38413
3.009639,8,2.388135
16.003578,20,2.405732
11.042186,15,2.41914
4.192104,10,2.42714
14.83736,16,2.43158
7.665275,13,2.460918
6.980465,16,2.465842
6.16099,15,2.487117
29.956969,29,2.512029
4.683599,9,2.520286
9.64989,23,2.538286
7.953336,14,2.548506
7.575268,18,2.548506
11.0293,15,2.584651
20.73569,27,2.605588
3.470803,10,2.615591
8.6632,14,2.62759
5.638981,12,2.638375
74.04596,61,2.758334
11.643429,13,2.787119
17.488267,20,2.830783
7.967995,12,2.84179
12.218537,19,2.848111
8.518284,18,2.87501
8.283428,12,2.885014
20.188139,19,2.902468
15.442477,36,2.946276
6.725647,10,2.95544
