#{"t_start": 1766976205.7490396, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,0.040276
7.662429,11,0.048273
22.287682,34,0.08339
25.121899,25,0.108828
4.921485,9,0.117404
10.271563,13,0.117404
6.556565,16,0.154968
66.024221,54,0.205209
2.466249,13,0.217089
16.619939,22,0.235692
4.457297,16,0.259216
6.715124,13,0.271528
12.503936,26,0.29423
7.184478,12,0.306789
8.614413,17,0.323124
15.917773,17,0.337799
18.387399,19,0.35028
4.285538,25,0.383423
3.783874,9,0.390419
14.972254,17,0.405481
48.366849,47,0.433642
9.835925,12,0.454382
5.829714,12,0.463876
7.999923,12,0.472974
9.047734,13,0.481001
153.631347,89,0.56836
15.636945,17,0.584022
11.770485,18,0.606784
15.050233,15,0.618812
10.546067,14,0.62981
2.917897,11,0.633496
0.751416,10,0.633496
5.860046,14,0.656197
21.965336,38,0.688031
8.55035,12,0.688956
19.901821,26,0.725991
4.290396,13,0.737775
2.769377,22,0.756213
8.540224,17,0.771075
19.506904,21,0.783562
23.165097,23,0.802146
12.835927,23,0.830397
3.580798,8,0.837399
34.010558,35,0.862169
3.570263,13,0.875137
7.555982,18,0.889423
29.365916,28,0.910048
7.000498,20,0.936952
7.44122,11,0.945952
5.70621,16,0.958227
25.51595,22,0.982956
6.15948,11,0.991496
7.755022,22,1.010224
87.220438,57,1.072849
20.383835,19,1.093942
16.45679,20,1.129526
90.273191,64,1.265291
4.592053,13,1.277475
10.148467,22,1.283256
4.535065,8,1.313851
18.027996,19,1.331851
27.103966,32,1.361974
13.903429,24,1.369045
8.812967,14,1.383242
11.361199,16,1.399903
9.090427,30,1.439611
8.990264,16,1.44993
13.782497,15,1.465958
7.952443,13,1.476611
5.620902,11,1.483286
6.998999,13,1.483286
9.048349,13,1.499931
11.206567,19,1.516539
13.422845,18,1.545895
11.727407,13,1.557897
7.023481,10,1.566411
9.160439,12,1.576762
5.144736,9,1.583384
13.003913,15,1.583384
8.394247,20,1.615878
7.834122,20,1.63341
20.098531,23,1.663493
9.217888,16,1.678495
25.97181,23,1.698138
15.631346,29,1.716457
1.560211,11,1.716457
10.652371,18,1.732933
5.711612,10,1.75415
12.551176,19,1.778769
6.581463,10,1.787068
113.135947,77,1.845068
33.206882,29,1.87976
8.770149,30,1.903711
88.731987,76,1.966341
0.983221,23,1.998278
10.039516,19,2.014282
5.256911,9,2.016595
10.731108,12,2.016595
18.132857,21,2.051651
10.093216,11,2.059669
9.95063,12,2.070349
9.008999,18,2.089344
2.491039,9,2.106111
16.916768,25,2.1289
3.071114,18,2.144601
19.203824,38,2.173961
7.2183,15,2.188272
10.529799,14,2.285903
15.355458,20,2.328112
29.837231,32,2.362576
7.683469,12,2.372573
10.774399,17,2.388925
43.321382,26,2.407241
7.378757,17,2.41695
11.236152,21,2.43369
6.211752,14,2.45487
8.06519,11,2.47023
7.969432,11,2.483659
53.843088,40,2.516268
8.563986,16,2.534426
5.248335,10,2.540443
9.089035,17,2.555418
13.827493,27,2.566057
20.142267,24,2.604654
11.156186,13,2.62077
4.748772,19,2.642858
5.211792,10,2.65344
7.031574,20,2.672254
5.284949,9,2.682055
8.382847,11,2.690956
5.101501,9,2.704724
6.838257,11,2.719512
3.728011,13,2.728513
5.657526,26,2.753292
7.563526,15,2.768158
23.439241,24,2.786901
6.732502,12,2.797947
5.014178,10,2.8073
9.321676,18,2.833522
7.472679,14,2.845524
8.684303,13,2.855194
7.35951,18,2.868868
7.908853,14,2.8789
8.266506,14,2.890494
9.558094,12,2.899219
13.119721,16,2.910979
25.701051,27,2.941804
15.108551,18,2.955105
5.225768,8,2.961112
22.814791,27,2.977345
4.809927,8,2.984476
18.242715,22,2.999195
9.897994,14,3.011243
5.261403,11,3.018101
9.078084,11,3.018101
7.482308,17,3.052295
8.381051,16,3.064295
8.617539,29,3.082477
6.957898,10,3.082477
13.847489,20,3.109101
7.4851,30,3.134816
12.09094,17,3.156672
12.02078,14,3.167832
11.7494,13,3.177868
10.588332,29,3.199069
9.307317,18,3.199069
9.069751,13,3.221699
28.876057,42,3.265627
38.304616,53,3.313017
10.853191,17,3.31565
15.352676,20,3.342839
5.708239,11,3.354452
7.433844,16,3.375841
9.848111,17,3.390345
30.46641,44,3.41559
4.714563,10,3.432288
16.37694,27,3.452372
4.309115,10,3.461231
5.846024,11,3.478119
7.922372,16,3.490111
4.718425,14,3.500975
11.672354,16,3.510991
59.66334,47,3.553168
9.569057,14,3.565063
5.673818,10,3.580526
5.701155,9,3.58974
7.176589,18,3.604867
10.524451,27,3.627515
6.509763,10,3.636197
13.269319,19,3.649385
9.552379,12,3.649385
5.341659,9,3.669011
11.834643,21,3.691082
6.248918,11,3.700712
6.90704,25,3.721525
4.889146,8,3.729557
2.378643,10,3.732099
13.375718,25,3.758853
5.68089,10,3.768898
31.445127,28,3.792467
12.724147,22,3.818615
16.51125,21,3.83426
10.828651,15,3.838267
10.743881,14,3.856566
7.079338,16,3.869498
15.215479,22,3.885517
11.334891,16,3.899458
16.335345,20,3.916067
2.885974,10,3.929996
8.054889,12,3.940996
5.594871,9,3.948341
60.050938,46,5.614833
17.632781,19,5.631488
19.164212,20,5.655413
8.370032,12,5.669259
9.119891,15,5.680259
19.032739,28,5.697967
30.255589,26,5.71474
4.083579,12,5.731556
14.206428,23,5.748166
10.662293,27,5.779545
36.390309,40,5.806097
20.916243,22,5.832008
9.152746,13,5.832008
6.307331,12,5.856038
23.921926,30,5.894185
4.555499,9,5.902185
6.451928,11,5.912185
3.637612,8,5.918714
53.011024,52,5.964007
15.220741,15,5.972011
5.659924,10,5.98569
11.342711,16,6.006456
15.436535,19,6.023463
11.561277,22,6.041161
31.386232,38,6.064414
7.815455,15,6.087569
3.423583,16,6.109274
5.490963,9,6.116273
14.451912,17,6.128273
28.003263,24,6.149781
8.293778,13,6.159819
