#{"t_start": 1766942852.6109722, "env_id": "CustomHopper-source-v0"}
r,l,t
1.741012,16,2.178292
7.662429,11,2.190288
22.287682,34,2.21504
25.121899,25,2.230414
4.921485,9,2.230414
10.271563,13,2.247981
6.556565,16,2.25898
66.024221,54,2.304285
2.466249,13,2.311035
16.619939,22,2.327218
4.457297,16,2.338277
6.715124,13,2.348277
12.503936,26,2.368721
7.184478,12,2.386374
8.614413,17,2.401886
15.917773,17,2.414887
18.387399,19,2.429899
4.285538,25,2.449943
3.783874,9,2.456943
14.972254,17,2.469946
48.366849,47,2.513692
9.835925,12,2.522676
5.829714,12,2.531677
7.999923,12,2.540677
9.047734,13,2.544257
153.631347,89,2.597812
15.636945,17,2.628078
11.770485,18,2.64219
15.050233,15,2.654187
10.546067,14,2.660851
2.917897,11,2.685134
0.751416,10,2.691134
5.860046,14,2.702384
21.965336,38,2.734222
8.55035,12,2.744633
19.901821,26,2.760614
4.290396,13,2.760614
2.769377,22,2.777575
8.540224,17,2.800697
19.506904,21,2.815699
23.165097,23,2.827527
12.835927,23,2.854101
3.580798,8,2.861327
34.010558,35,2.88456
3.570263,13,2.892559
7.555982,18,2.894098
29.365916,28,2.924361
7.000498,20,2.93836
7.44122,11,2.944196
5.70621,16,2.944196
25.51595,22,2.983058
6.15948,11,2.991058
7.755022,22,3.005058
87.220438,57,3.044971
20.383835,19,3.05697
16.45679,20,3.060698
90.273191,64,3.121789
4.592053,13,3.130634
10.148467,22,3.146452
4.535065,8,3.151451
18.027996,19,3.165449
27.103966,32,3.183265
13.903429,24,3.216188
8.812967,14,3.224187
11.361199,16,3.298269
9.090427,30,3.335979
8.990264,16,3.346976
13.782497,15,3.356972
7.952443,13,3.367107
5.620902,11,3.37513
6.998999,13,3.384808
9.048349,13,3.394792
11.206567,19,3.406791
13.422845,18,3.417791
11.727407,13,3.433793
7.023481,10,3.443385
9.160439,12,3.45139
5.144736,9,3.456389
13.003913,15,3.468414
8.394247,20,3.482187
7.834122,20,3.497983
20.098531,23,3.512334
9.217888,16,3.522345
25.97181,23,3.538141
15.631346,29,3.568619
1.560211,11,3.574619
10.652371,18,3.57695
5.711612,10,3.593352
12.551176,19,3.606164
6.581463,10,3.614994
113.135947,77,3.674382
33.206882,29,3.699707
8.770149,30,3.718793
88.731987,76,3.780256
0.983221,23,3.803376
10.039516,19,3.816333
5.256911,9,3.82235
10.731108,12,3.83353
18.132857,21,3.84953
10.093216,11,3.856531
9.95063,12,3.866253
9.008999,18,3.885264
2.491039,9,3.891806
16.916768,25,3.913114
3.071114,18,3.926113
19.203824,38,3.952285
7.2183,15,3.963284
10.529799,14,3.972284
15.355458,20,3.993218
29.837231,32,4.017951
7.683469,12,4.025952
10.774399,17,4.026761
43.321382,26,4.056124
7.378757,17,4.067127
11.236152,21,4.080575
6.211752,14,4.080575
8.06519,11,4.10504
7.969432,11,4.115337
53.843088,40,4.126861
8.563986,16,4.143143
5.248335,10,4.143143
9.089035,17,4.169832
13.827493,27,4.189833
20.142267,24,4.207483
11.156186,13,4.226476
4.748772,19,4.240777
5.211792,10,4.248776
7.031574,20,4.259775
5.284949,9,4.26911
8.382847,11,4.275118
5.101501,9,4.283694
6.838257,11,4.290694
3.728011,13,4.300694
5.657526,26,4.309794
7.563526,15,4.334391
23.439241,24,4.352926
6.732502,12,4.362929
5.014178,10,4.369928
9.321676,18,4.382788
7.472679,14,4.394826
8.684303,13,4.403202
7.35951,18,4.415196
7.908853,14,4.423196
8.266506,14,4.426843
9.558094,12,4.426843
13.119721,16,4.452072
25.701051,27,4.480749
15.108551,18,4.493237
5.225768,8,4.493237
22.814791,27,4.516656
4.809927,8,4.521658
18.242715,22,4.537657
9.897994,14,4.547928
5.261403,11,4.565571
9.078084,11,4.567051
7.482308,17,4.587636
8.381051,16,4.598639
8.617539,29,4.609638
6.957898,10,4.609638
13.847489,20,4.639283
7.4851,30,4.659878
12.09094,17,4.671914
12.02078,14,4.688497
11.7494,13,4.700114
10.588332,29,4.709791
9.307317,18,4.736449
9.069751,13,4.745863
