#{"t_start": 1766980395.0365174, "env_id": "CustomHopper-source-v0"}
r,l,t
10.260218,20,0.044056
5.648457,9,0.067396
10.968701,24,0.093816
20.740834,21,0.110853
5.500698,10,0.116586
15.137462,21,0.150499
4.141844,7,0.155502
5.895497,13,0.167496
6.871935,11,0.174496
7.687083,11,0.184886
3.875698,25,0.205849
10.275974,16,0.217488
10.652819,28,0.248908
5.649466,9,0.264416
6.265958,16,0.277301
7.472316,12,0.285315
6.511736,19,0.301118
46.480811,34,0.330154
7.057524,10,0.331178
12.737811,17,0.352973
3.112776,7,0.358994
4.40077,14,0.378522
22.648629,30,0.39194
32.648203,27,0.429571
10.229772,12,0.441908
41.192654,30,0.464751
7.296722,10,0.464751
6.688172,13,0.49377
11.762595,25,0.514768
14.84577,23,0.533131
7.561135,16,0.548212
5.82095,10,0.558324
5.19123,13,0.571127
4.844858,11,0.582842
6.666083,11,0.600511
23.311197,25,0.631965
8.660338,11,0.639978
5.802371,9,0.650345
7.288906,13,0.66316
13.498651,15,0.679043
6.919146,15,0.679746
4.725459,13,0.712886
6.411444,10,0.722276
12.400845,14,0.734279
42.15141,42,0.75825
6.98475,14,0.782076
6.758352,11,0.791857
6.736831,11,0.801896
29.248962,41,0.845906
15.858666,16,0.858215
24.463093,23,0.877472
4.635224,10,0.885501
36.341427,27,0.91164
57.191857,41,0.954489
10.668184,23,0.973263
23.057198,22,0.993079
23.351485,25,1.012187
5.79657,17,1.026855
3.33349,8,1.03488
21.681782,25,1.070787
6.444932,11,1.081
26.238172,25,1.100862
7.854118,12,1.111118
5.411065,10,1.111118
8.806983,36,1.15011
64.790403,48,1.203614
17.944185,21,1.222934
31.85611,24,1.24477
10.486543,17,1.261302
8.539957,19,1.388915
12.499575,18,1.411283
8.1629,11,1.422282
2.05171,12,1.433283
6.001392,10,1.443413
5.422235,9,1.451442
5.726225,9,1.459217
24.61426,23,1.487105
10.764361,14,1.503223
27.106363,24,1.525843
3.240812,7,1.531867
19.011332,22,1.551687
12.069069,16,1.565481
45.547033,35,1.60668
7.839317,23,1.626702
14.980919,16,1.640258
3.397059,8,1.648291
7.267057,13,1.658072
9.192824,27,1.681907
5.834752,9,1.691188
4.04535,16,1.713123
11.153483,14,1.723123
14.309706,16,1.734681
6.932825,10,1.744919
5.380041,24,1.76522
11.603596,14,1.774999
15.924264,34,1.798134
6.493036,9,1.817803
26.92618,29,1.843644
6.039177,10,1.849668
5.121361,9,1.858781
13.937429,15,1.860471
8.940254,27,1.891007
6.451123,15,1.893642
5.248582,11,1.914144
7.122379,14,1.935292
15.539971,36,1.96606
38.249744,64,2.01427
4.498913,10,2.036896
5.037709,10,2.045971
21.41004,22,2.065719
6.328382,13,2.078208
26.204954,24,2.097284
28.681203,26,2.119108
4.799859,8,2.127363
17.587667,22,2.15522
20.355353,46,2.189108
9.461357,17,2.211021
10.335995,35,2.230368
4.396432,20,2.287724
13.10611,18,2.305579
19.054237,18,2.330382
5.549794,12,2.330382
4.203092,10,2.357454
13.853265,16,2.37145
3.009639,8,2.37839
16.003578,20,2.396198
11.042186,15,2.409712
4.192104,10,2.417743
14.83736,16,2.429534
7.665275,13,2.444185
6.980465,16,2.448017
6.16099,15,2.476583
29.956969,29,2.499063
4.683599,9,2.5086
9.64989,23,2.527724
7.953336,14,2.539772
7.575268,18,2.555333
11.0293,15,2.574379
20.73569,27,2.598016
3.470803,10,2.605015
8.6632,14,2.617604
5.638981,12,2.62915
74.04596,61,2.690312
11.643429,13,2.702312
17.488267,20,2.720315
7.967995,12,2.730757
12.218537,19,2.747558
8.518284,18,2.763509
8.283428,12,2.77543
20.188139,19,2.791244
15.442477,36,2.824309
6.725647,10,2.83988
9.155097,15,2.851924
34.599658,32,2.883155
6.737202,16,2.895831
52.364776,36,2.934985
5.590821,10,2.944731
6.830369,12,2.95276
3.425161,17,2.970068
8.26903,13,2.981614
6.656048,19,2.997423
5.551156,13,3.007457
4.749443,9,3.015232
48.558054,39,3.054007
21.53275,23,3.074862
9.701852,27,3.09793
13.33036,18,3.11374
22.81395,24,3.142067
66.473354,60,3.196389
24.723966,28,3.227292
18.654169,21,3.250947
6.856654,12,3.267013
20.400854,28,3.294898
8.844413,23,3.315411
11.193838,15,3.331984
6.726912,11,3.342818
19.197888,22,3.374302
67.100558,48,3.417835
12.308885,13,3.430902
16.356683,19,3.448711
34.891457,48,3.585329
6.56064,33,3.64246
6.172509,13,3.654508
7.288792,11,3.664043
4.150342,11,3.674495
6.205943,11,3.682512
4.567522,9,3.691244
8.719024,13,3.710899
9.134478,15,3.723542
44.183804,37,3.753375
5.538234,9,3.76115
66.635251,45,3.790377
7.13884,13,3.81918
3.877435,21,3.83718
4.459428,9,3.844504
15.333086,26,3.864036
27.268843,34,3.889607
20.588887,20,3.906774
9.93815,14,3.926383
27.407073,37,3.952623
8.222929,11,3.963002
9.969257,14,3.974406
19.730637,23,3.991665
77.501495,58,4.046084
8.358864,13,4.055084
3.033453,10,4.058479
4.726664,12,4.058479
5.220178,12,4.080105
23.18901,26,4.103478
62.123276,48,4.149996
8.647904,12,4.156665
19.809087,19,6.266564
6.225069,13,6.277614
33.10008,29,6.29668
17.371469,18,6.31826
38.490054,34,6.355823
62.329036,36,6.385835
6.961702,16,6.399458
9.631561,14,6.411934
24.037931,25,6.431614
56.10882,37,6.470878
31.990298,29,6.497338
5.038429,16,6.511788
55.545531,56,6.557835
10.481227,27,6.592483
44.109539,42,6.625671
20.281543,25,6.648984
17.108134,21,6.673016
17.292601,29,6.714637
3.780755,11,6.725631
92.421251,51,6.773586
12.026359,24,6.785628
99.677028,63,6.858887
8.215701,15,6.87269
6.295546,12,6.88273
15.977372,17,6.896508
10.703124,17,6.917209
16.826573,23,6.938633
22.256199,21,6.954558
14.368602,20,6.972367
7.035729,11,6.982404
95.162836,54,7.0311
5.884803,12,7.041766
71.153826,42,7.073453
5.934122,10,7.081482
15.86152,24,7.09728
19.798887,24,7.115696
6.841105,11,7.139454
22.55907,25,7.164223
25.21447,25,7.172087
5.05512,10,7.190024
38.257098,41,7.223071
5.155988,11,7.227808
18.161186,20,7.253768
41.05041,37,7.273273
8.725559,24,7.298787
8.273502,23,7.318568
36.46527,33,7.354309
7.009274,34,7.380131
47.949122,41,7.413246
8.399528,22,7.431055
64.424576,41,7.474058
10.695652,17,7.49076
13.179738,21,7.512898
3.204816,10,7.524954
9.276577,14,7.536744
3.684451,17,7.554049
27.307924,33,7.594842
64.689184,50,7.641487
14.902014,17,7.654366
5.904108,17,7.669953
21.920483,29,7.702833
13.213169,16,7.715346
15.833984,24,7.736679
8.330522,11,7.747563
8.298879,32,7.775175
11.808902,13,7.782933
7.924677,11,7.79271
17.954834,20,7.816043
20.826974,26,7.837588
14.719094,31,7.864522
10.52946,12,7.87455
34.908822,29,7.898122
12.081142,15,7.92288
17.514852,19,7.938566
13.327913,17,7.952614
12.096961,14,7.96279
15.696468,17,7.979822
24.642245,37,8.013435
11.769914,17,8.036028
20.272114,28,8.064181
16.939898,26,8.088392
142.974865,73,8.160439
14.676797,16,8.284514
37.751362,30,8.311155
8.123882,14,8.324213
18.838082,33,8.352235
128.426854,62,8.421536
19.777845,25,8.443393
36.896636,27,8.467224
32.330537,31,8.504977
42.02558,32,8.534059
7.787455,12,8.543849
94.932911,54,8.598562
80.394865,50,8.63605
4.655313,18,8.654589
5.221126,9,8.673373
8.894336,26,8.697248
7.048986,18,8.714962
23.095126,20,8.721375
11.537823,23,8.754599
15.446063,34,8.78246
36.637504,30,8.816726
9.983808,18,8.831709
7.74953,16,8.846949
9.463013,26,8.868771
11.685721,22,8.886463
10.505493,14,8.895452
40.590378,32,8.931249
7.485684,11,8.940117
35.041802,29,8.965955
4.94253,16,8.977746
7.134572,16,8.990841
35.916193,33,9.027714
48.048958,40,9.058639
7.962356,30,9.082463
46.204865,42,9.118019
161.57254,102,9.211732
5.663443,9,9.217752
3.237248,13,9.229537
56.372283,45,9.269423
22.570509,32,9.293997
10.756004,15,9.309866
8.112623,28,9.333685
1.954922,10,9.341446
19.648154,20,9.365592
134.152874,77,9.427964
21.629417,36,9.455166
5.476636,22,9.472696
11.244353,25,9.498473
22.607886,24,9.511095
34.977792,37,9.548731
12.640411,26,9.573296
11.78187,25,9.599861
34.170969,26,9.623406
6.63951,19,9.63695
4.94956,9,9.644999
5.966133,17,9.655031
12.804315,14,9.671276
81.176132,62,9.727078
20.360339,20,9.743886
14.955454,24,9.754625
45.633556,46,9.812654
207.882083,111,9.91857
10.210077,14,9.940422
6.260383,9,9.948422
9.356604,13,9.95878
9.791663,18,9.973514
41.436907,34,10.003308
12.517481,34,10.031441
5.959266,23,10.061701
10.747128,15,10.073691
7.066828,10,10.080691
12.120004,16,10.092178
16.400899,31,10.11548
15.814467,17,10.129118
12.505762,16,10.143184
39.698401,31,12.038657
20.440126,21,12.058034
44.290445,43,12.091262
61.609392,45,12.139662
26.372006,23,12.156992
13.016058,22,12.170245
56.542323,41,12.209651
6.345124,11,12.220148
31.642412,25,12.24884
125.469406,67,12.303512
20.406392,33,12.329915
22.721615,21,12.356011
85.600932,77,12.417636
94.227528,52,12.46416
30.189575,32,12.495141
140.210846,73,12.55337
36.314441,32,12.593432
5.818711,28,12.617738
15.737757,27,12.641443
47.195026,36,12.653365
196.861855,89,12.751449
88.878098,51,12.806332
11.949773,38,12.839511
73.807075,43,12.874033
25.263227,48,12.927848
37.630543,36,12.953364
14.922119,25,12.970329
24.444036,20,12.996598
85.510297,48,13.047304
8.422305,11,13.053145
120.287698,62,13.10919
73.988343,43,13.266079
16.209766,23,13.287932
127.133642,80,13.359208
9.114095,27,13.39185
61.902352,42,13.42597
23.915218,34,13.453103
155.526594,124,13.569552
10.447419,29,13.586783
15.604576,16,13.611711
3.449366,11,13.622998
101.485694,56,13.653002
5.330245,19,13.679566
143.517128,83,13.752988
141.259989,78,13.822867
76.101855,44,13.853224
72.732688,42,13.900156
9.535201,13,13.906347
91.105367,50,13.966624
49.350481,46,14.003554
53.126444,32,14.043759
10.277919,13,14.064086
110.722859,73,14.129404
82.588204,47,14.180387
75.60905,49,14.21929
8.309096,13,14.238696
125.422459,81,14.316738
87.018522,48,14.353232
78.153338,45,14.395552
6.297533,11,14.404645
73.034603,42,14.43852
11.16043,13,14.44752
22.3293,19,14.461944
21.254098,20,14.475204
55.530707,33,14.510309
12.61797,17,14.52331
56.189237,34,14.548471
6.084043,10,14.552428
13.705905,19,14.57157
31.857228,27,14.591795
13.179725,19,14.614382
12.434684,16,14.627541
27.074398,26,14.647635
16.825611,25,14.667462
6.736188,17,14.681141
61.56752,49,14.730072
14.109163,19,14.746073
27.003701,30,14.769022
8.295825,12,14.777322
60.334345,35,14.802907
80.49252,49,14.84939
9.016347,14,14.861393
7.110298,10,14.869157
175.591581,114,14.972122
45.521351,37,14.98691
23.849062,23,15.00865
95.303331,54,15.052349
124.219594,63,15.12295
116.390933,62,15.169423
90.919986,60,15.22547
21.529362,21,15.247291
17.304535,34,15.272825
70.167243,43,15.316165
152.265907,81,15.385483
131.535005,82,15.452034
83.321113,74,15.539565
172.041454,89,15.609994
194.225168,97,15.820755
39.038943,41,15.858353
11.66601,25,15.879196
7.789726,14,15.893323
13.447705,14,15.915791
12.004723,16,15.930798
73.011798,41,17.731964
140.409366,70,17.79691
96.374445,71,17.863094
65.209914,38,17.914932
72.522745,42,17.957016
155.969049,75,18.138891
18.477727,18,18.155888
9.808077,15,18.166889
100.676135,61,18.217534
191.808813,85,18.298426
145.148606,72,18.363178
20.05416,20,18.379196
301.563385,170,18.519476
9.791178,13,18.519476
8.503416,29,18.550664
121.276239,68,18.614195
117.577243,80,18.679286
43.503923,34,18.719105
101.713916,54,18.762654
60.859179,35,18.783953
37.19596,36,18.828681
213.182127,94,18.90838
7.11679,10,18.91439
7.015452,11,18.930909
56.294879,58,18.977391
85.755834,49,19.017046
51.914209,45,19.061331
16.689722,21,19.079499
14.482106,15,19.093781
63.43345,37,19.12316
105.483509,64,19.189937
12.66015,15,19.202359
213.998758,113,19.304354
67.94254,48,19.333659
9.238174,22,19.374073
7.480837,16,19.387702
158.470787,75,19.453717
40.819419,32,19.495537
46.387644,49,19.53988
23.618544,24,19.557541
146.272774,78,19.63954
41.642168,38,19.673261
17.505312,19,19.69809
63.47278,41,19.731365
74.173585,48,19.766745
72.132278,40,19.806697
78.333252,47,19.833348
90.152355,51,19.866828
77.203387,44,19.917005
107.190546,61,19.949901
139.942446,73,20.04213
52.920038,42,20.093716
31.81415,35,20.137355
82.327372,49,20.180924
44.200262,34,20.208012
122.8232,80,20.320003
123.513585,77,20.389612
94.415557,51,20.430496
27.238257,23,20.539739
142.818699,76,20.627306
102.530184,82,20.697204
49.971058,52,20.751827
42.378766,31,20.766453
6.291542,12,20.783664
112.09905,57,20.831782
157.670699,72,20.899647
111.999737,61,20.96533
35.235128,29,20.991081
58.35444,33,21.020275
193.398785,132,21.146971
11.369513,14,21.160456
60.984254,36,21.199601
141.33265,70,21.249489
68.419369,40,21.314129
95.192004,52,21.351942
40.31761,49,21.412122
153.303567,73,21.478131
69.888846,45,21.524926
62.657971,36,21.555401
3.228055,13,21.56797
143.346703,69,21.632518
86.736022,46,21.668124
138.538364,70,21.730935
34.221671,28,23.675142
210.620639,93,23.763506
171.553834,83,23.831623
7.150001,10,23.848118
169.149494,104,23.936092
175.221885,89,24.020838
71.340425,41,24.062335
81.798801,50,24.108213
159.003684,77,24.182556
159.339997,77,24.247517
65.946055,39,24.289235
73.684889,44,24.322989
139.267836,82,24.402082
89.151004,57,24.448024
80.61352,48,24.491971
94.003545,50,24.530043
60.714251,35,24.559973
142.808656,73,24.630796
119.220876,90,24.701997
213.623911,110,24.803292
96.141786,52,24.847838
119.664645,62,24.90373
84.553709,48,24.953803
99.705842,58,25.004659
61.088712,41,25.031985
55.322551,32,25.075289
56.799498,33,25.098545
84.409103,55,25.146425
41.222644,31,25.180377
258.212971,145,25.310688
83.190223,58,25.473301
86.944027,51,25.518519
9.405288,13,25.538311
50.864672,36,25.563842
32.887041,25,25.592106
226.048836,105,25.691249
106.1981,56,25.735963
83.201632,59,25.780345
182.977652,85,25.870285
130.259018,65,25.925948
178.457261,92,26.010842
45.143633,34,26.039395
9.367946,14,26.050381
143.750875,71,26.117857
78.421536,48,26.155524
35.274292,26,26.179355
111.162581,59,26.237335
169.540141,80,26.317923
120.846286,62,26.367419
86.175828,68,26.43003
238.629683,119,26.545195
120.718214,68,26.601576
179.650947,91,26.683383
239.280867,114,26.780319
108.614057,58,26.833586
220.244558,99,26.931419
89.202785,48,26.984962
89.592244,53,27.037784
3.908463,13,27.050313
137.452227,72,27.119404
86.13618,48,27.159935
175.753117,88,27.240537
73.918856,42,27.274559
10.887656,17,27.289251
161.180587,78,27.355783
140.284224,77,27.413056
150.655385,74,27.480952
58.013119,39,29.420604
117.082817,60,29.478954
153.38646,75,29.538409
113.771434,66,29.599847
54.301247,31,29.627433
80.394155,45,29.674967
229.715467,103,29.758729
224.38528,103,29.850859
93.155493,53,29.905016
89.264434,57,29.951739
129.824329,64,30.012085
200.962725,91,30.098385
155.920126,78,30.161092
225.640052,103,30.360744
59.143698,35,30.392351
107.717953,57,30.446556
201.805285,109,30.547147
64.64832,38,30.578974
91.464445,55,30.618516
203.243568,88,30.707191
63.250178,37,30.730181
149.010238,74,30.818425
133.83217,64,30.886587
63.864524,38,30.922554
121.282897,60,30.980437
85.20097,48,31.020907
71.096366,44,31.056049
154.897025,79,31.129068
146.764958,81,31.189822
64.69359,37,31.226617
207.072915,90,31.298565
226.887069,108,31.391453
159.662094,75,31.459733
83.155828,50,31.500223
154.882122,78,31.561091
63.434573,37,31.599174
65.083,44,31.64162
103.05614,55,31.688169
143.150178,69,31.749591
114.76332,58,31.802987
154.574152,76,31.875967
65.073631,39,31.90914
69.496241,40,31.944323
108.031084,56,32.000434
62.278566,40,32.036075
118.436807,68,32.110428
126.617772,62,32.167711
101.693891,54,32.228656
107.598344,57,32.279569
105.760785,77,32.348403
120.705184,64,32.397959
91.56831,51,32.444807
108.33423,61,32.490202
144.335539,72,32.543979
87.615153,50,32.592969
53.613089,32,32.719342
88.39387,50,32.762958
189.285527,94,32.854192
73.814058,43,32.890809
24.386158,23,32.916969
89.844188,47,32.958109
119.675479,64,33.010498
174.299959,78,33.077172
64.0335,38,33.11694
72.632582,47,33.166637
81.831026,47,33.206366
215.554082,116,35.102671
203.906457,95,35.301001
116.072495,60,35.356634
104.328834,57,35.410691
160.839196,79,35.47444
92.679975,51,35.527461
121.702159,62,35.579633
110.18422,59,35.63014
168.06986,82,35.696844
251.621144,110,35.7954
170.697765,78,35.86697
123.309834,64,35.919039
68.67884,39,35.965165
230.22909,111,36.064467
85.389115,48,36.10577
204.662532,92,36.188015
76.569286,55,36.233758
97.694344,53,36.287416
84.154352,54,36.331452
200.653564,98,36.416648
78.549576,45,36.453254
207.212539,95,36.537838
265.315609,128,36.659
227.191174,105,36.773218
